Match_ID,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Contested Marks,Marks Inside 50,1%ers,Bounces,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Contested Marks(O),Marks Inside 50(O),1%ers(O),Bounces(O),Goal Assist %(O)
5236,2011.0,12.0,0.0,0.0,124.0,63.0,61.0,1.0,2.0,231.0,199.0,430.0,1.16,113.0,78.0,35.0,15.0,13.0,19.0,12.0,9.0,1.0,29.0,65.5,22.63,14.83,34.0,28.0,33.0,59.0,2.03,3.11,47.5,32.2,186.8,86.6,24.24,83.4,9.0,3.0,7.0,3.0,158.0,276.0,331.0,77.0,14.0,21.0,58.0,17.0,63.2,172.0,162.0,334.0,1.06,72.0,73.0,39.0,13.0,15.0,9.0,8.0,8.0,1.0,18.0,50.0,37.11,18.56,33.0,38.0,39.0,43.0,2.39,4.78,39.5,20.9,187.5,87.3,23.91,81.8,10.0,5.0,3.0,4.0,140.0,198.0,235.0,70.4,8.0,8.0,55.0,1.0,88.9
5246,2011.0,13.0,0.0,0.0,100.0,66.0,34.0,1.0,16.0,216.0,142.0,358.0,1.52,95.0,88.0,35.0,24.0,11.0,15.0,12.0,8.0,2.0,25.0,60.0,23.87,14.32,40.0,31.0,35.0,42.0,1.68,2.8,54.8,35.7,186.6,86.3,24.49,90.6,9.0,2.0,7.0,4.0,145.0,215.0,263.0,73.5,7.0,10.0,44.0,23.0,80.0,190.0,134.0,324.0,1.42,87.0,70.0,45.0,11.0,24.0,10.0,7.0,6.0,0.0,16.0,62.5,32.4,20.25,36.0,45.0,25.0,46.0,2.88,4.6,34.8,21.7,187.2,87.2,25.8,111.9,6.0,6.0,3.0,7.0,152.0,171.0,222.0,68.5,23.0,17.0,63.0,6.0,70.0
5254,2011.0,14.0,0.0,1.0,67.0,103.0,-36.0,0.0,17.0,201.0,157.0,358.0,1.28,88.0,72.0,31.0,23.0,13.0,10.0,4.0,5.0,2.0,17.0,58.8,35.8,21.06,30.0,42.0,38.0,49.0,2.88,4.9,30.6,20.4,187.2,86.8,24.49,91.7,8.0,3.0,7.0,4.0,144.0,224.0,266.0,74.3,11.0,3.0,62.0,16.0,40.0,197.0,142.0,339.0,1.39,102.0,75.0,40.0,13.0,23.0,15.0,11.0,11.0,2.0,28.0,53.6,22.6,12.11,36.0,51.0,36.0,58.0,2.07,3.87,44.8,25.9,189.7,90.6,24.58,95.8,7.0,7.0,3.0,5.0,155.0,194.0,243.0,71.7,23.0,17.0,56.0,5.0,73.3
5257,2011.0,15.0,1.0,1.0,184.0,81.0,103.0,1.0,14.0,208.0,150.0,358.0,1.39,87.0,66.0,66.0,17.0,17.0,28.0,17.0,14.0,2.0,44.0,63.6,12.79,8.14,53.0,33.0,23.0,67.0,1.52,2.39,62.7,41.8,187.4,87.0,24.58,95.6,9.0,1.0,8.0,4.0,148.0,210.0,273.0,76.3,20.0,25.0,47.0,13.0,60.7,173.0,134.0,307.0,1.29,84.0,49.0,33.0,16.0,17.0,12.0,9.0,8.0,1.0,21.0,57.1,25.58,14.62,31.0,47.0,33.0,40.0,1.9,3.33,50.0,30.0,187.8,85.9,22.8,56.5,12.0,7.0,2.0,1.0,113.0,194.0,229.0,74.6,9.0,12.0,39.0,5.0,75.0
5270,2011.0,16.0,1.0,0.0,69.0,96.0,-27.0,0.0,18.0,200.0,182.0,382.0,1.1,80.0,94.0,62.0,16.0,12.0,9.0,3.0,13.0,2.0,24.0,37.5,42.44,15.92,51.0,51.0,41.0,52.0,2.17,5.78,42.3,17.3,187.1,86.2,24.58,95.0,9.0,2.0,7.0,4.0,165.0,212.0,259.0,67.8,15.0,8.0,65.0,15.0,33.3,197.0,114.0,311.0,1.73,81.0,83.0,34.0,12.0,16.0,14.0,8.0,9.0,3.0,26.0,53.8,22.21,11.96,38.0,47.0,37.0,58.0,2.23,4.14,39.7,24.1,187.0,86.9,25.41,102.5,7.0,5.0,3.0,7.0,154.0,157.0,209.0,67.2,19.0,14.0,67.0,8.0,57.1
5273,2011.0,17.0,0.0,1.0,79.0,98.0,-19.0,0.0,4.0,196.0,142.0,338.0,1.38,83.0,51.0,41.0,20.0,15.0,11.0,10.0,12.0,1.0,24.0,45.8,30.73,14.08,36.0,41.0,38.0,47.0,1.96,4.27,48.9,23.4,178.4,82.5,23.91,76.1,11.0,3.0,5.0,3.0,138.0,196.0,249.0,73.7,11.0,16.0,49.0,20.0,90.9,218.0,123.0,341.0,1.77,104.0,64.0,32.0,15.0,20.0,13.0,8.0,14.0,6.0,33.0,39.4,26.23,10.33,35.0,44.0,33.0,58.0,1.76,4.46,46.6,22.4,187.4,89.5,25.8,115.0,6.0,3.0,5.0,8.0,137.0,203.0,247.0,72.4,21.0,21.0,55.0,9.0,61.5
5283,2011.0,18.0,1.0,1.0,153.0,79.0,74.0,1.0,5.0,205.0,145.0,350.0,1.41,83.0,82.0,49.0,13.0,21.0,24.0,17.0,8.0,1.0,33.0,72.7,14.58,10.61,43.0,40.0,25.0,52.0,1.58,2.17,61.5,46.2,177.9,81.7,24.0,74.8,12.0,2.0,4.0,4.0,146.0,204.0,263.0,75.1,13.0,19.0,50.0,15.0,70.8,187.0,142.0,329.0,1.32,86.0,60.0,36.0,21.0,13.0,12.0,10.0,4.0,3.0,19.0,63.2,27.42,17.32,38.0,32.0,24.0,40.0,2.11,3.33,40.0,30.0,185.6,84.1,23.49,69.2,12.0,5.0,2.0,3.0,132.0,199.0,239.0,72.6,15.0,14.0,42.0,3.0,83.3
5287,2011.0,19.0,1.0,1.0,80.0,62.0,18.0,1.0,12.0,225.0,130.0,355.0,1.73,105.0,60.0,36.0,26.0,19.0,11.0,8.0,14.0,0.0,25.0,44.0,32.27,14.2,25.0,44.0,31.0,55.0,2.2,5.0,45.5,20.0,186.5,85.7,24.33,88.9,10.0,2.0,5.0,5.0,136.0,213.0,254.0,71.5,11.0,15.0,59.0,30.0,72.7,183.0,132.0,315.0,1.39,66.0,80.0,40.0,19.0,26.0,9.0,7.0,8.0,0.0,17.0,52.9,35.0,18.53,37.0,59.0,40.0,41.0,2.41,4.56,41.5,22.0,186.1,86.5,24.41,84.3,10.0,6.0,1.0,5.0,141.0,169.0,209.0,66.3,12.0,14.0,52.0,7.0,77.8
5295,2011.0,20.0,0.0,0.0,134.0,58.0,76.0,1.0,11.0,218.0,152.0,370.0,1.43,99.0,65.0,42.0,20.0,21.0,21.0,12.0,7.0,1.0,29.0,72.4,17.62,12.76,45.0,42.0,34.0,52.0,1.79,2.48,53.8,40.4,186.4,85.6,24.24,89.6,10.0,2.0,5.0,5.0,147.0,223.0,275.0,74.3,13.0,17.0,55.0,7.0,57.1,193.0,139.0,332.0,1.39,93.0,74.0,30.0,21.0,20.0,7.0,4.0,13.0,3.0,23.0,30.4,47.43,14.43,26.0,42.0,29.0,47.0,2.04,6.71,42.6,14.9,188.0,86.5,23.33,69.1,11.0,5.0,5.0,1.0,127.0,207.0,248.0,74.7,15.0,8.0,57.0,2.0,57.1
5304,2011.0,21.0,1.0,1.0,115.0,85.0,30.0,1.0,6.0,232.0,169.0,401.0,1.37,110.0,71.0,32.0,15.0,23.0,16.0,9.0,13.0,6.0,35.0,45.7,25.06,11.46,43.0,43.0,33.0,56.0,1.6,3.5,51.8,28.6,186.3,85.3,24.16,85.5,9.0,4.0,5.0,4.0,143.0,261.0,295.0,73.6,7.0,12.0,47.0,27.0,56.2,179.0,156.0,335.0,1.15,87.0,73.0,42.0,23.0,15.0,12.0,10.0,12.0,1.0,25.0,48.0,27.92,13.4,25.0,42.0,33.0,48.0,1.92,4.0,50.0,25.0,189.0,87.8,24.66,75.0,11.0,5.0,2.0,4.0,121.0,213.0,242.0,72.2,16.0,10.0,34.0,16.0,83.3
