,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Clangers2,Contested Marks,Marks Inside 50,Clearances2,Rebound 50s2,1%ers,Bounces,Goals Assists2,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Clangers2(O),Contested Marks(O),Marks Inside 50(O),Clearances2(O),Rebound 50s2(O),1%ers(O),Bounces(O),Goals Assists2(O),Goal Assist %(O)
5322,2011.0,23.0,1.0,1.0,89.0,81.0,8.0,1.0,2.0,217.0,112.0,329.0,1.94,55.0,74.0,44.0,15.0,24.0,13.0,5.0,8.0,3.0,24.0,54.2,25.31,13.71,43.0,69.0,37.0,58.0,2.42,4.46,36.2,22.4,188.4,89.7,24.58,93.0,5.0,10.0,2.0,5.0,165.0,148.0,215.0,65.3,69.0,10.0,10.0,43.0,37.0,71.0,6.0,5.0,38.5,222.0,122.0,344.0,1.82,75.0,96.0,42.0,24.0,15.0,11.0,7.0,10.0,5.0,26.0,42.3,31.27,13.23,47.0,48.0,42.0,52.0,2.0,4.73,40.4,21.2,187.8,86.6,24.8,83.3,9.0,7.0,3.0,3.0,146.0,190.0,236.0,68.6,48.0,4.0,9.0,47.0,42.0,90.0,2.0,7.0,63.6
5333,2011.0,24.0,0.0,0.0,145.0,50.0,95.0,1.0,1.0,238.0,139.0,377.0,1.71,81.0,79.0,58.0,27.0,19.0,22.0,10.0,9.0,4.0,35.0,62.9,17.14,10.77,60.0,53.0,21.0,59.0,1.69,2.68,52.5,37.3,188.7,89.5,24.41,95.1,5.0,10.0,2.0,5.0,165.0,206.0,259.0,68.7,53.0,8.0,8.0,60.0,21.0,57.0,3.0,10.0,45.5,173.0,174.0,347.0,0.99,55.0,65.0,46.0,19.0,27.0,7.0,4.0,4.0,4.0,15.0,46.7,49.57,23.13,43.0,69.0,34.0,36.0,2.4,5.14,30.6,19.4,186.8,87.5,24.49,83.0,10.0,5.0,2.0,5.0,130.0,219.0,251.0,72.3,69.0,4.0,5.0,43.0,34.0,69.0,3.0,4.0,57.1
5335,2011.0,25.0,1.0,0.0,62.0,82.0,-20.0,0.0,4.0,185.0,138.0,323.0,1.34,66.0,100.0,50.0,18.0,23.0,9.0,6.0,6.0,2.0,17.0,52.9,35.89,19.0,31.0,43.0,37.0,44.0,2.59,4.89,34.1,20.5,189.2,90.0,24.58,97.5,4.0,11.0,2.0,5.0,152.0,167.0,229.0,70.9,43.0,19.0,7.0,31.0,37.0,45.0,10.0,6.0,66.7,234.0,202.0,436.0,1.16,88.0,73.0,29.0,23.0,18.0,12.0,6.0,8.0,2.0,22.0,54.5,36.33,19.82,53.0,45.0,33.0,53.0,2.41,4.42,37.7,22.6,186.7,89.7,25.8,134.5,3.0,5.0,5.0,9.0,168.0,263.0,311.0,71.3,45.0,11.0,8.0,53.0,33.0,71.0,20.0,6.0,50.0
5339,2011.0,26.0,0.0,0.0,101.0,98.0,3.0,1.0,3.0,189.0,133.0,322.0,1.42,76.0,83.0,61.0,29.0,22.0,15.0,7.0,8.0,3.0,26.0,57.7,21.47,12.38,47.0,47.0,33.0,48.0,1.85,3.2,47.9,31.2,188.7,89.7,24.8,103.4,4.0,10.0,2.0,6.0,146.0,179.0,223.0,69.3,47.0,13.0,9.0,47.0,33.0,70.0,6.0,7.0,46.7,198.0,105.0,303.0,1.89,68.0,75.0,38.0,22.0,29.0,15.0,10.0,5.0,3.0,23.0,65.2,20.2,13.17,42.0,59.0,29.0,51.0,2.22,3.4,39.2,29.4,186.5,85.7,24.66,87.8,8.0,6.0,4.0,4.0,155.0,143.0,206.0,68.0,59.0,16.0,9.0,42.0,29.0,50.0,7.0,10.0,66.7
5341,2011.0,27.0,1.0,0.0,69.0,117.0,-48.0,0.0,7.0,182.0,161.0,343.0,1.13,72.0,49.0,36.0,20.0,17.0,10.0,6.0,7.0,2.0,19.0,52.6,34.3,18.05,40.0,54.0,42.0,47.0,2.47,4.7,36.2,21.3,188.7,89.7,24.91,104.4,4.0,9.0,3.0,6.0,142.0,199.0,232.0,67.6,54.0,11.0,10.0,40.0,42.0,45.0,10.0,6.0,60.0,222.0,139.0,361.0,1.6,98.0,69.0,38.0,17.0,20.0,17.0,10.0,13.0,2.0,32.0,53.1,21.24,11.28,34.0,54.0,32.0,66.0,2.06,3.88,45.5,25.8,188.0,90.5,27.24,144.8,4.0,4.0,3.0,11.0,154.0,203.0,261.0,72.3,54.0,22.0,15.0,34.0,32.0,62.0,3.0,10.0,58.8
5350,2012.0,1.0,1.0,1.0,136.0,87.0,49.0,1.0,18.0,206.0,146.0,352.0,1.41,88.0,64.0,45.0,19.0,12.0,21.0,9.0,6.0,4.0,31.0,67.7,16.76,11.35,36.0,26.0,36.0,61.0,1.97,2.9,44.3,34.4,188.5,89.4,25.8,100.0,5.0,9.0,2.0,6.0,145.0,203.0,270.0,76.7,26.0,19.0,12.0,36.0,36.0,44.0,17.0,9.0,42.9,204.0,180.0,384.0,1.13,81.0,52.0,31.0,12.0,19.0,12.0,7.0,11.0,4.0,27.0,44.4,32.0,14.22,45.0,39.0,38.0,54.0,2.0,4.5,42.6,22.2,187.0,86.7,24.66,83.3,11.0,3.0,1.0,7.0,154.0,236.0,271.0,70.6,39.0,13.0,10.0,45.0,38.0,52.0,9.0,7.0,58.3
5355,2012.0,2.0,0.0,0.0,166.0,58.0,108.0,1.0,11.0,253.0,194.0,447.0,1.3,108.0,69.0,43.0,32.0,12.0,25.0,16.0,13.0,3.0,41.0,61.0,17.88,10.9,42.0,33.0,21.0,77.0,1.88,3.08,49.4,32.5,188.5,89.4,25.8,101.0,5.0,8.0,3.0,6.0,159.0,293.0,351.0,78.5,33.0,11.0,12.0,42.0,21.0,51.0,14.0,16.0,64.0,184.0,129.0,313.0,1.43,75.0,41.0,31.0,12.0,30.0,9.0,6.0,3.0,1.0,13.0,69.2,34.78,24.08,37.0,59.0,49.0,32.0,2.46,3.56,37.5,28.1,188.6,88.0,24.8,69.5,9.0,8.0,4.0,1.0,128.0,184.0,219.0,70.0,59.0,8.0,3.0,37.0,49.0,60.0,4.0,6.0,66.7
5367,2012.0,3.0,1.0,1.0,150.0,69.0,81.0,1.0,9.0,212.0,163.0,375.0,1.3,119.0,45.0,41.0,23.0,18.0,23.0,15.0,10.0,2.0,35.0,65.7,16.3,10.71,33.0,35.0,30.0,61.0,1.74,2.65,54.1,37.7,188.1,88.9,24.8,76.6,9.0,8.0,1.0,4.0,132.0,247.0,286.0,76.3,35.0,20.0,16.0,33.0,30.0,51.0,24.0,15.0,65.2,183.0,194.0,377.0,0.94,75.0,46.0,28.0,18.0,22.0,10.0,6.0,8.0,1.0,19.0,52.6,37.7,19.84,39.0,44.0,32.0,45.0,2.37,4.5,40.0,22.2,187.8,85.8,22.0,41.6,17.0,2.0,0.0,3.0,134.0,244.0,284.0,75.3,44.0,10.0,12.0,39.0,32.0,51.0,12.0,6.0,60.0
5375,2012.0,4.0,0.0,0.0,51.0,46.0,5.0,1.0,10.0,213.0,141.0,354.0,1.51,94.0,48.0,49.0,33.0,23.0,5.0,3.0,14.0,7.0,26.0,19.2,70.8,13.62,39.0,45.0,45.0,45.0,1.73,9.0,42.2,11.1,188.2,89.0,24.74,94.2,6.0,8.0,3.0,5.0,143.0,206.0,256.0,72.3,45.0,15.0,7.0,39.0,45.0,41.0,5.0,3.0,60.0,193.0,111.0,304.0,1.74,72.0,81.0,26.0,23.0,32.0,5.0,1.0,15.0,1.0,21.0,23.8,60.8,14.48,35.0,52.0,30.0,56.0,2.67,11.2,35.7,8.9,186.6,86.4,25.24,105.2,8.0,3.0,4.0,7.0,130.0,166.0,208.0,68.4,52.0,6.0,5.0,35.0,30.0,58.0,3.0,1.0,20.0
5386,2012.0,5.0,1.0,1.0,107.0,97.0,10.0,1.0,14.0,173.0,148.0,321.0,1.17,73.0,61.0,42.0,21.0,17.0,16.0,10.0,4.0,7.0,27.0,59.3,20.06,11.89,34.0,35.0,22.0,52.0,1.93,3.25,38.5,30.8,188.3,88.8,24.91,96.0,6.0,8.0,3.0,5.0,136.0,182.0,244.0,76.0,35.0,17.0,10.0,34.0,22.0,42.0,11.0,10.0,62.5,198.0,150.0,348.0,1.32,104.0,58.0,30.0,17.0,21.0,14.0,9.0,11.0,2.0,27.0,51.9,24.86,12.89,38.0,45.0,32.0,47.0,1.74,3.36,53.2,29.8,187.5,87.0,23.8,73.0,8.0,8.0,3.0,3.0,134.0,216.0,259.0,74.4,45.0,20.0,13.0,38.0,32.0,53.0,15.0,9.0,64.3
5396,2012.0,6.0,0.0,0.0,120.0,95.0,25.0,1.0,12.0,223.0,129.0,352.0,1.73,95.0,46.0,40.0,29.0,15.0,17.0,10.0,16.0,2.0,35.0,48.6,20.71,10.06,49.0,42.0,23.0,60.0,1.71,3.53,55.0,28.3,187.5,87.4,24.66,89.4,8.0,6.0,3.0,5.0,149.0,204.0,256.0,72.7,42.0,13.0,13.0,49.0,23.0,41.0,16.0,10.0,58.8,210.0,152.0,362.0,1.38,87.0,62.0,36.0,15.0,29.0,15.0,9.0,5.0,0.0,20.0,75.0,24.13,18.1,36.0,59.0,37.0,43.0,2.15,2.87,46.5,34.9,187.4,86.5,24.33,78.1,12.0,4.0,2.0,4.0,148.0,210.0,256.0,70.7,59.0,20.0,5.0,36.0,37.0,40.0,11.0,9.0,60.0
5402,2012.0,7.0,1.0,0.0,52.0,113.0,-61.0,0.0,5.0,193.0,121.0,314.0,1.6,105.0,66.0,35.0,19.0,19.0,7.0,4.0,8.0,2.0,17.0,41.2,44.86,18.47,24.0,42.0,41.0,41.0,2.41,5.86,36.6,17.1,187.6,87.5,24.33,84.0,9.0,5.0,4.0,4.0,120.0,195.0,231.0,73.6,42.0,13.0,6.0,24.0,41.0,48.0,5.0,4.0,57.1,247.0,143.0,390.0,1.73,111.0,50.0,32.0,19.0,18.0,16.0,12.0,14.0,3.0,33.0,48.5,24.38,11.82,42.0,32.0,33.0,63.0,1.91,3.94,47.6,25.4,186.6,85.0,24.74,85.0,8.0,7.0,5.0,2.0,147.0,236.0,292.0,74.9,32.0,18.0,17.0,42.0,33.0,45.0,4.0,12.0,75.0
5414,2012.0,8.0,0.0,0.0,121.0,91.0,30.0,1.0,15.0,226.0,137.0,363.0,1.65,128.0,57.0,49.0,25.0,16.0,18.0,7.0,11.0,2.0,31.0,58.1,20.17,11.71,37.0,44.0,31.0,48.0,1.55,2.67,60.4,37.5,188.6,88.2,24.49,91.0,7.0,7.0,3.0,5.0,132.0,232.0,270.0,74.4,44.0,19.0,19.0,37.0,31.0,29.0,10.0,7.0,38.9,185.0,140.0,325.0,1.32,70.0,49.0,24.0,16.0,25.0,13.0,8.0,11.0,2.0,26.0,50.0,25.0,12.5,38.0,55.0,28.0,51.0,1.96,3.92,47.1,25.5,186.6,86.4,26.41,117.0,7.0,2.0,5.0,8.0,132.0,194.0,239.0,73.5,55.0,7.0,11.0,38.0,28.0,53.0,15.0,8.0,61.5
5423,2012.0,9.0,0.0,0.0,84.0,36.0,48.0,1.0,6.0,242.0,161.0,403.0,1.5,136.0,67.0,47.0,19.0,10.0,11.0,8.0,17.0,1.0,29.0,37.9,36.64,13.9,36.0,36.0,24.0,64.0,2.21,5.82,43.8,17.2,188.5,88.3,24.74,96.7,6.0,7.0,4.0,5.0,141.0,269.0,298.0,73.9,36.0,20.0,11.0,36.0,24.0,50.0,15.0,8.0,72.7,169.0,125.0,294.0,1.35,68.0,75.0,39.0,10.0,18.0,5.0,4.0,6.0,0.0,11.0,45.5,58.8,26.73,30.0,47.0,47.0,30.0,2.73,6.0,36.7,16.7,189.7,89.9,25.16,81.6,8.0,8.0,3.0,3.0,131.0,160.0,198.0,67.3,47.0,8.0,3.0,30.0,47.0,49.0,10.0,4.0,80.0
5430,2012.0,10.0,1.0,0.0,100.0,102.0,-2.0,0.0,2.0,198.0,154.0,352.0,1.29,73.0,60.0,75.0,21.0,13.0,15.0,10.0,5.0,5.0,25.0,60.0,23.47,14.08,44.0,32.0,32.0,52.0,2.08,3.47,38.5,28.8,188.2,87.9,24.74,94.3,6.0,7.0,4.0,5.0,148.0,205.0,257.0,73.0,32.0,10.0,7.0,44.0,32.0,58.0,17.0,10.0,66.7,199.0,144.0,343.0,1.38,98.0,81.0,29.0,13.0,20.0,16.0,8.0,5.0,1.0,22.0,72.7,21.44,15.59,45.0,42.0,35.0,51.0,2.32,3.19,41.2,31.4,187.4,86.6,24.58,74.9,9.0,6.0,5.0,2.0,139.0,207.0,248.0,72.3,42.0,13.0,8.0,45.0,35.0,59.0,1.0,8.0,50.0
5439,2012.0,12.0,0.0,0.0,79.0,69.0,10.0,1.0,3.0,199.0,147.0,346.0,1.35,60.0,81.0,62.0,23.0,21.0,10.0,5.0,16.0,3.0,29.0,34.5,34.6,11.93,51.0,51.0,31.0,55.0,1.9,5.5,47.3,18.2,188.0,88.0,24.58,92.5,7.0,7.0,3.0,5.0,160.0,169.0,247.0,71.4,51.0,11.0,9.0,51.0,31.0,56.0,8.0,5.0,50.0,196.0,121.0,317.0,1.62,56.0,84.0,39.0,21.0,23.0,10.0,5.0,7.0,2.0,19.0,52.6,31.7,16.68,46.0,57.0,34.0,46.0,2.42,4.6,37.0,21.7,186.7,86.4,24.91,91.8,5.0,9.0,4.0,4.0,143.0,152.0,226.0,71.3,57.0,2.0,7.0,46.0,34.0,49.0,7.0,5.0,50.0
5447,2012.0,13.0,1.0,0.0,82.0,85.0,-3.0,0.0,4.0,197.0,168.0,365.0,1.17,95.0,58.0,44.0,12.0,14.0,12.0,9.0,6.0,4.0,22.0,54.5,30.42,16.59,36.0,35.0,24.0,52.0,2.36,4.33,34.6,23.1,187.9,88.1,24.49,89.5,8.0,6.0,4.0,4.0,135.0,238.0,281.0,77.0,35.0,14.0,10.0,36.0,24.0,48.0,7.0,9.0,75.0,209.0,165.0,374.0,1.27,85.0,60.0,26.0,14.0,12.0,12.0,7.0,12.0,1.0,25.0,48.0,31.17,14.96,36.0,45.0,40.0,43.0,1.72,3.58,55.8,27.9,187.3,90.3,24.8,87.4,6.0,9.0,3.0,4.0,142.0,230.0,282.0,75.4,45.0,16.0,10.0,36.0,40.0,47.0,17.0,7.0,58.3
5454,2012.0,14.0,0.0,0.0,166.0,40.0,126.0,1.0,8.0,263.0,193.0,456.0,1.36,142.0,53.0,52.0,18.0,15.0,25.0,18.0,15.0,1.0,41.0,61.0,18.24,11.12,39.0,34.0,21.0,60.0,1.46,2.4,66.7,41.7,187.4,87.4,24.41,89.1,8.0,6.0,4.0,4.0,137.0,316.0,363.0,79.6,34.0,16.0,24.0,39.0,21.0,42.0,18.0,18.0,72.0,155.0,121.0,276.0,1.28,64.0,46.0,18.0,15.0,18.0,5.0,4.0,9.0,1.0,15.0,33.3,55.2,18.4,33.0,48.0,24.0,30.0,2.0,6.0,46.7,16.7,189.2,84.3,22.58,35.5,19.0,1.0,0.0,2.0,110.0,167.0,203.0,73.6,48.0,8.0,5.0,33.0,24.0,43.0,11.0,4.0,80.0
5461,2012.0,15.0,1.0,1.0,86.0,84.0,2.0,1.0,12.0,204.0,147.0,351.0,1.39,87.0,62.0,49.0,26.0,22.0,12.0,6.0,13.0,1.0,26.0,46.2,29.25,13.5,38.0,53.0,29.0,52.0,2.0,4.33,48.1,23.1,187.5,87.3,24.41,89.2,7.0,8.0,3.0,4.0,152.0,199.0,255.0,72.6,53.0,18.0,15.0,38.0,29.0,40.0,7.0,6.0,50.0,186.0,130.0,316.0,1.43,88.0,62.0,27.0,22.0,26.0,13.0,8.0,6.0,0.0,19.0,68.4,24.31,16.63,35.0,50.0,37.0,44.0,2.32,3.38,43.2,29.5,186.8,86.0,24.66,85.0,10.0,6.0,2.0,4.0,121.0,192.0,230.0,72.8,50.0,7.0,11.0,35.0,37.0,52.0,6.0,8.0,61.5
5477,2012.0,16.0,0.0,1.0,69.0,121.0,-52.0,0.0,16.0,210.0,125.0,335.0,1.68,85.0,68.0,50.0,25.0,18.0,10.0,5.0,7.0,2.0,19.0,52.6,33.5,17.63,43.0,43.0,43.0,48.0,2.53,4.8,35.4,20.8,188.6,86.8,24.16,86.7,8.0,7.0,3.0,4.0,149.0,184.0,238.0,71.0,43.0,17.0,5.0,43.0,43.0,55.0,10.0,5.0,50.0,219.0,201.0,420.0,1.09,72.0,66.0,46.0,18.0,25.0,18.0,10.0,11.0,2.0,31.0,58.1,23.33,13.55,44.0,52.0,37.0,65.0,2.1,3.61,44.6,27.7,187.9,88.2,26.49,124.8,3.0,8.0,3.0,8.0,179.0,238.0,304.0,72.4,52.0,18.0,7.0,44.0,37.0,58.0,10.0,10.0,55.6
5480,2012.0,17.0,1.0,0.0,75.0,124.0,-49.0,0.0,1.0,194.0,143.0,337.0,1.36,94.0,54.0,49.0,17.0,17.0,11.0,9.0,9.0,0.0,20.0,55.0,30.64,16.85,33.0,42.0,28.0,42.0,2.1,3.82,47.6,26.2,187.8,87.0,24.8,98.6,6.0,7.0,4.0,5.0,127.0,213.0,240.0,71.2,42.0,11.0,10.0,33.0,28.0,45.0,11.0,9.0,81.8,235.0,152.0,387.0,1.55,98.0,52.0,24.0,17.0,17.0,19.0,13.0,8.0,2.0,29.0,65.5,20.37,13.34,39.0,44.0,30.0,54.0,1.86,2.84,50.0,35.2,185.5,88.0,25.66,96.0,7.0,6.0,3.0,6.0,153.0,237.0,273.0,70.5,44.0,7.0,15.0,39.0,30.0,37.0,15.0,13.0,68.4
5495,2012.0,18.0,0.0,0.0,175.0,77.0,98.0,1.0,2.0,223.0,164.0,387.0,1.36,104.0,67.0,57.0,23.0,22.0,28.0,16.0,7.0,0.0,35.0,80.0,13.82,11.06,39.0,52.0,21.0,68.0,1.94,2.43,51.5,41.2,187.9,88.0,25.8,104.6,5.0,8.0,4.0,5.0,152.0,232.0,286.0,73.9,52.0,20.0,17.0,39.0,21.0,43.0,23.0,16.0,57.1,162.0,134.0,296.0,1.21,50.0,68.0,30.0,23.0,23.0,12.0,7.0,5.0,0.0,17.0,70.6,24.67,17.41,56.0,55.0,35.0,35.0,2.06,2.92,48.6,34.3,187.8,85.5,24.74,80.6,9.0,6.0,4.0,3.0,131.0,163.0,199.0,67.2,55.0,5.0,4.0,56.0,35.0,50.0,9.0,7.0,58.3
5499,2012.0,19.0,1.0,0.0,48.0,113.0,-65.0,0.0,6.0,163.0,132.0,295.0,1.23,75.0,64.0,61.0,19.0,22.0,6.0,3.0,7.0,5.0,18.0,33.3,49.17,16.39,35.0,34.0,30.0,36.0,2.0,6.0,36.1,16.7,187.9,88.1,24.58,92.9,6.0,9.0,3.0,4.0,123.0,171.0,210.0,71.2,34.0,11.0,3.0,35.0,30.0,45.0,2.0,3.0,50.0,227.0,102.0,329.0,2.23,89.0,72.0,38.0,22.0,19.0,17.0,8.0,9.0,2.0,28.0,60.7,19.35,11.75,49.0,49.0,27.0,56.0,2.0,3.29,46.4,30.4,188.6,88.3,25.49,95.2,7.0,7.0,4.0,4.0,162.0,159.0,217.0,66.0,49.0,12.0,11.0,49.0,27.0,43.0,6.0,8.0,47.1
5505,2012.0,20.0,0.0,0.0,102.0,97.0,5.0,1.0,7.0,195.0,126.0,321.0,1.55,67.0,54.0,67.0,32.0,32.0,16.0,10.0,4.0,2.0,22.0,72.7,20.06,14.59,48.0,63.0,32.0,53.0,2.41,3.31,37.7,30.2,188.0,88.6,25.24,108.0,6.0,7.0,3.0,6.0,164.0,163.0,229.0,71.3,63.0,14.0,13.0,48.0,32.0,50.0,13.0,10.0,62.5,190.0,123.0,313.0,1.54,75.0,70.0,25.0,32.0,32.0,15.0,7.0,5.0,2.0,22.0,68.2,20.87,14.23,49.0,52.0,35.0,48.0,2.18,3.2,41.7,31.2,187.5,86.9,25.8,95.6,10.0,3.0,3.0,6.0,147.0,168.0,213.0,68.1,52.0,14.0,6.0,49.0,35.0,65.0,6.0,7.0,46.7
5520,2012.0,21.0,1.0,1.0,98.0,50.0,48.0,1.0,13.0,201.0,161.0,362.0,1.25,99.0,46.0,46.0,24.0,25.0,14.0,7.0,10.0,4.0,28.0,50.0,25.86,12.93,31.0,50.0,35.0,46.0,1.64,3.29,52.2,30.4,187.7,88.5,25.41,108.5,6.0,7.0,3.0,6.0,119.0,244.0,276.0,76.2,50.0,10.0,15.0,31.0,35.0,40.0,21.0,7.0,50.0,199.0,140.0,339.0,1.42,105.0,48.0,19.0,25.0,24.0,6.0,3.0,11.0,3.0,20.0,30.0,56.5,16.95,30.0,50.0,29.0,48.0,2.4,8.0,35.4,12.5,188.4,87.0,24.41,81.8,9.0,5.0,3.0,5.0,115.0,222.0,242.0,71.4,50.0,11.0,13.0,30.0,29.0,37.0,18.0,3.0,50.0
5528,2012.0,22.0,0.0,0.0,107.0,58.0,49.0,1.0,4.0,202.0,160.0,362.0,1.26,77.0,42.0,59.0,22.0,17.0,15.0,11.0,14.0,3.0,32.0,46.9,24.13,11.31,47.0,43.0,23.0,53.0,1.66,3.53,54.7,28.3,188.5,88.7,25.33,111.5,4.0,9.0,4.0,5.0,142.0,214.0,262.0,72.4,43.0,10.0,16.0,47.0,23.0,45.0,12.0,11.0,73.3,202.0,126.0,328.0,1.6,101.0,57.0,12.0,17.0,22.0,8.0,5.0,7.0,3.0,18.0,44.4,41.0,18.22,23.0,44.0,37.0,33.0,1.83,4.12,45.5,24.2,187.9,89.6,24.91,113.1,3.0,9.0,4.0,6.0,109.0,208.0,242.0,73.8,44.0,11.0,8.0,23.0,37.0,37.0,9.0,5.0,62.5
5536,2012.0,23.0,1.0,0.0,70.0,95.0,-25.0,0.0,10.0,200.0,159.0,359.0,1.26,82.0,74.0,52.0,19.0,13.0,10.0,5.0,7.0,3.0,20.0,50.0,35.9,17.95,36.0,44.0,34.0,51.0,2.55,5.1,33.3,19.6,188.3,88.4,25.16,106.1,4.0,10.0,3.0,5.0,137.0,213.0,256.0,71.3,44.0,10.0,7.0,36.0,34.0,34.0,16.0,5.0,50.0,219.0,147.0,366.0,1.49,86.0,60.0,19.0,13.0,19.0,14.0,12.0,11.0,0.0,25.0,56.0,26.14,14.64,41.0,41.0,38.0,53.0,2.12,3.79,47.2,26.4,186.8,86.9,25.41,118.6,5.0,4.0,4.0,9.0,143.0,219.0,264.0,72.1,41.0,7.0,12.0,41.0,38.0,59.0,7.0,12.0,85.7
5544,2012.0,25.0,0.0,0.0,162.0,66.0,96.0,1.0,12.0,231.0,127.0,358.0,1.82,112.0,38.0,62.0,15.0,21.0,24.0,18.0,13.0,5.0,42.0,57.1,14.92,8.52,43.0,49.0,28.0,71.0,1.69,2.96,52.1,33.8,188.8,89.5,25.49,117.1,3.0,10.0,3.0,6.0,142.0,218.0,268.0,74.9,49.0,17.0,17.0,43.0,28.0,53.0,25.0,18.0,75.0,170.0,119.0,289.0,1.43,57.0,36.0,29.0,21.0,15.0,9.0,6.0,10.0,2.0,21.0,42.9,32.11,13.76,42.0,42.0,41.0,43.0,2.05,4.78,44.2,20.9,187.2,86.1,24.8,95.9,6.0,9.0,3.0,4.0,139.0,157.0,198.0,68.5,42.0,7.0,8.0,42.0,41.0,39.0,21.0,6.0,66.7
5546,2012.0,26.0,1.0,0.0,60.0,73.0,-13.0,0.0,4.0,184.0,145.0,329.0,1.27,74.0,59.0,52.0,16.0,18.0,9.0,6.0,6.0,0.0,15.0,60.0,36.56,21.93,34.0,45.0,42.0,43.0,2.87,4.78,34.9,20.9,188.9,89.3,25.41,118.7,3.0,10.0,3.0,6.0,135.0,191.0,234.0,71.1,45.0,12.0,9.0,34.0,42.0,69.0,20.0,6.0,66.7,236.0,118.0,354.0,2.0,98.0,79.0,27.0,17.0,16.0,10.0,6.0,9.0,4.0,23.0,43.5,35.4,15.39,45.0,47.0,33.0,57.0,2.48,5.7,33.3,17.5,186.9,89.9,25.58,127.9,2.0,8.0,3.0,9.0,150.0,203.0,259.0,73.2,47.0,12.0,9.0,45.0,33.0,50.0,19.0,6.0,60.0
5551,2013.0,1.0,1.0,0.0,80.0,108.0,-28.0,0.0,6.0,179.0,110.0,289.0,1.63,58.0,83.0,47.0,25.0,20.0,11.0,5.0,10.0,4.0,25.0,44.0,26.27,11.56,43.0,46.0,40.0,38.0,1.52,3.45,55.3,28.9,188.2,87.7,25.16,98.4,7.0,6.0,5.0,4.0,153.0,139.0,184.0,63.7,46.0,16.0,8.0,43.0,40.0,51.0,11.0,5.0,45.5,206.0,129.0,335.0,1.6,87.0,74.0,35.0,20.0,25.0,16.0,8.0,11.0,1.0,28.0,57.1,20.94,11.96,36.0,44.0,23.0,61.0,2.18,3.81,44.3,26.2,187.2,87.7,25.8,95.0,5.0,9.0,3.0,5.0,152.0,188.0,225.0,67.2,44.0,10.0,11.0,36.0,23.0,52.0,8.0,8.0,50.0
5567,2013.0,2.0,0.0,1.0,98.0,148.0,-50.0,0.0,10.0,173.0,132.0,305.0,1.31,63.0,52.0,48.0,23.0,23.0,15.0,11.0,5.0,3.0,23.0,65.2,20.33,13.26,51.0,44.0,35.0,37.0,1.61,2.47,54.1,40.5,188.1,87.3,25.49,97.2,7.0,7.0,4.0,4.0,141.0,161.0,220.0,72.1,44.0,9.0,11.0,51.0,35.0,36.0,11.0,11.0,73.3,213.0,145.0,358.0,1.47,77.0,65.0,47.0,23.0,23.0,23.0,9.0,6.0,4.0,33.0,69.7,15.57,10.85,41.0,42.0,18.0,62.0,1.88,2.7,46.8,37.1,186.8,88.0,25.66,113.9,7.0,3.0,2.0,10.0,152.0,204.0,270.0,75.4,42.0,10.0,12.0,41.0,18.0,40.0,8.0,9.0,39.1
5570,2013.0,3.0,1.0,1.0,177.0,83.0,94.0,1.0,11.0,216.0,175.0,391.0,1.23,83.0,78.0,33.0,20.0,18.0,27.0,15.0,13.0,2.0,42.0,64.3,14.48,9.31,45.0,41.0,25.0,62.0,1.48,2.3,64.5,43.5,187.7,86.9,25.74,105.1,5.0,8.0,4.0,5.0,161.0,228.0,289.0,73.9,41.0,16.0,17.0,45.0,25.0,32.0,12.0,15.0,55.6,179.0,145.0,324.0,1.23,72.0,56.0,46.0,18.0,20.0,13.0,5.0,5.0,0.0,18.0,72.2,24.92,18.0,33.0,47.0,33.0,42.0,2.33,3.23,42.9,31.0,186.5,86.5,24.24,59.9,12.0,4.0,5.0,1.0,134.0,189.0,219.0,67.6,47.0,13.0,9.0,33.0,33.0,37.0,9.0,5.0,38.5
