,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Clangers2,Contested Marks,Marks Inside 50,Clearances2,Rebound 50s2,1%ers,Bounces,Goals Assists2,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Clangers2(O),Contested Marks(O),Marks Inside 50(O),Clearances2(O),Rebound 50s2(O),1%ers(O),Bounces(O),Goals Assists2(O),Goal Assist %(O)
5233,2011.0,12.0,1.0,1.0,106.0,67.0,39.0,1.0,1.0,226.0,144.0,370.0,1.57,106.0,60.0,58.0,22.0,16.0,15.0,9.0,11.0,5.0,31.0,48.4,24.67,11.94,46.0,41.0,34.0,60.0,1.94,4.0,43.3,25.0,188.7,89.5,24.58,94.3,7.0,8.0,2.0,5.0,148.0,222.0,273.0,73.8,41.0,16.0,11.0,46.0,34.0,45.0,16.0,9.0,60.0,175.0,162.0,337.0,1.08,81.0,51.0,39.0,16.0,22.0,10.0,8.0,6.0,1.0,17.0,58.8,33.7,19.82,36.0,47.0,37.0,46.0,2.71,4.6,34.8,21.7,188.5,88.5,24.8,74.7,10.0,6.0,2.0,4.0,126.0,209.0,249.0,73.9,47.0,14.0,6.0,36.0,37.0,55.0,9.0,8.0,80.0
5247,2011.0,13.0,0.0,0.0,110.0,88.0,22.0,1.0,13.0,215.0,164.0,379.0,1.31,79.0,65.0,51.0,15.0,20.0,15.0,8.0,15.0,5.0,35.0,42.9,25.27,10.83,39.0,39.0,22.0,57.0,1.63,3.8,52.6,26.3,189.1,90.0,24.58,94.3,7.0,8.0,2.0,5.0,155.0,220.0,272.0,71.8,39.0,8.0,11.0,39.0,22.0,52.0,6.0,8.0,53.3,216.0,131.0,347.0,1.65,90.0,82.0,27.0,20.0,15.0,13.0,8.0,9.0,1.0,23.0,56.5,26.69,15.09,38.0,39.0,29.0,40.0,1.74,3.08,55.0,32.5,188.5,87.6,24.33,77.4,8.0,7.0,4.0,3.0,143.0,202.0,249.0,71.8,39.0,9.0,11.0,38.0,29.0,69.0,5.0,8.0,61.5
5254,2011.0,14.0,1.0,1.0,103.0,67.0,36.0,1.0,3.0,197.0,142.0,339.0,1.39,102.0,75.0,40.0,13.0,23.0,15.0,11.0,11.0,2.0,28.0,53.6,22.6,12.11,36.0,51.0,36.0,58.0,2.07,3.87,44.8,25.9,189.7,90.6,24.58,95.8,7.0,7.0,3.0,5.0,155.0,194.0,243.0,71.7,51.0,23.0,17.0,36.0,36.0,56.0,5.0,11.0,73.3,201.0,157.0,358.0,1.28,88.0,72.0,31.0,23.0,13.0,10.0,4.0,5.0,2.0,17.0,58.8,35.8,21.06,30.0,42.0,38.0,49.0,2.88,4.9,30.6,20.4,187.2,86.8,24.49,91.7,8.0,3.0,7.0,4.0,144.0,224.0,266.0,74.3,42.0,11.0,3.0,30.0,38.0,62.0,16.0,4.0,40.0
5264,2011.0,16.0,0.0,0.0,96.0,88.0,8.0,1.0,7.0,204.0,152.0,356.0,1.34,85.0,70.0,54.0,23.0,25.0,14.0,5.0,11.0,1.0,26.0,53.8,25.43,13.69,42.0,53.0,36.0,43.0,1.65,3.07,58.1,32.6,189.3,89.7,24.8,87.1,9.0,6.0,3.0,4.0,140.0,214.0,264.0,74.2,53.0,11.0,12.0,42.0,36.0,50.0,2.0,5.0,35.7,194.0,171.0,365.0,1.13,61.0,78.0,42.0,25.0,23.0,13.0,8.0,8.0,2.0,23.0,56.5,28.08,15.87,39.0,57.0,23.0,52.0,2.26,4.0,40.4,25.0,187.2,88.5,26.33,124.0,7.0,3.0,1.0,11.0,159.0,212.0,251.0,68.8,57.0,9.0,10.0,39.0,23.0,69.0,4.0,8.0,61.5
5274,2011.0,17.0,1.0,0.0,61.0,82.0,-21.0,0.0,15.0,205.0,129.0,334.0,1.59,106.0,70.0,55.0,19.0,11.0,9.0,7.0,3.0,4.0,16.0,56.2,37.11,20.88,37.0,46.0,35.0,47.0,2.94,5.22,25.5,19.1,189.9,90.3,24.16,89.2,8.0,7.0,3.0,4.0,138.0,202.0,248.0,74.3,46.0,17.0,10.0,37.0,35.0,56.0,5.0,7.0,77.8,222.0,183.0,405.0,1.21,96.0,71.0,19.0,11.0,19.0,13.0,10.0,3.0,1.0,17.0,76.5,31.15,23.82,34.0,38.0,37.0,49.0,2.88,3.77,32.7,26.5,187.1,87.2,26.24,118.4,4.0,5.0,5.0,8.0,134.0,261.0,316.0,78.0,38.0,12.0,12.0,34.0,37.0,42.0,10.0,10.0,76.9
5286,2011.0,18.0,1.0,1.0,65.0,64.0,1.0,1.0,6.0,217.0,131.0,348.0,1.66,110.0,72.0,53.0,25.0,21.0,8.0,3.0,13.0,4.0,25.0,32.0,43.5,13.92,35.0,48.0,28.0,44.0,1.76,5.5,47.7,18.2,189.7,90.4,24.33,91.5,7.0,8.0,3.0,4.0,142.0,204.0,246.0,70.7,48.0,16.0,13.0,35.0,28.0,46.0,17.0,3.0,37.5,184.0,120.0,304.0,1.53,81.0,75.0,18.0,21.0,25.0,9.0,5.0,7.0,3.0,19.0,47.4,33.78,16.0,36.0,47.0,31.0,40.0,2.11,4.44,40.0,22.5,188.8,87.2,24.66,77.9,11.0,5.0,2.0,4.0,137.0,167.0,213.0,70.1,47.0,19.0,9.0,36.0,31.0,43.0,12.0,5.0,55.6
5288,2011.0,19.0,1.0,1.0,103.0,95.0,8.0,1.0,18.0,211.0,160.0,371.0,1.32,109.0,60.0,45.0,21.0,20.0,15.0,9.0,12.0,1.0,28.0,53.6,24.73,13.25,34.0,32.0,35.0,51.0,1.82,3.4,52.9,29.4,189.5,89.7,24.8,87.8,7.0,7.0,3.0,5.0,126.0,244.0,298.0,80.3,32.0,13.0,13.0,34.0,35.0,53.0,6.0,9.0,60.0,176.0,136.0,312.0,1.29,60.0,47.0,33.0,20.0,21.0,15.0,10.0,3.0,2.0,20.0,75.0,20.8,15.6,43.0,44.0,30.0,51.0,2.55,3.4,35.3,29.4,187.6,87.2,24.74,90.3,10.0,3.0,3.0,6.0,134.0,176.0,233.0,74.7,44.0,7.0,11.0,43.0,30.0,51.0,9.0,10.0,66.7
5301,2011.0,20.0,0.0,0.0,147.0,90.0,57.0,1.0,14.0,200.0,177.0,377.0,1.13,81.0,71.0,40.0,30.0,13.0,22.0,12.0,9.0,6.0,37.0,59.5,17.14,10.19,44.0,35.0,20.0,60.0,1.62,2.73,51.7,36.7,188.5,89.0,24.41,95.6,8.0,5.0,3.0,6.0,149.0,232.0,285.0,75.6,35.0,14.0,13.0,44.0,20.0,49.0,16.0,12.0,54.5,182.0,172.0,354.0,1.06,72.0,57.0,27.0,14.0,30.0,14.0,10.0,5.0,1.0,20.0,70.0,25.29,17.7,36.0,53.0,37.0,35.0,1.75,2.5,54.3,40.0,187.6,86.1,23.66,69.3,8.0,9.0,5.0,0.0,138.0,209.0,263.0,74.3,53.0,10.0,9.0,36.0,37.0,45.0,3.0,10.0,71.4
5307,2011.0,21.0,1.0,1.0,110.0,62.0,48.0,1.0,11.0,200.0,144.0,344.0,1.39,87.0,79.0,32.0,23.0,16.0,16.0,9.0,13.0,1.0,30.0,53.3,21.5,11.47,35.0,40.0,31.0,60.0,2.0,3.75,48.3,26.7,188.6,89.9,24.16,86.4,8.0,7.0,2.0,5.0,133.0,202.0,253.0,73.5,40.0,10.0,9.0,35.0,31.0,46.0,9.0,9.0,56.2,213.0,170.0,383.0,1.25,98.0,67.0,42.0,16.0,23.0,9.0,6.0,7.0,1.0,17.0,52.9,42.56,22.53,32.0,58.0,40.0,44.0,2.59,4.89,36.4,20.5,187.3,85.7,23.41,67.1,10.0,5.0,7.0,0.0,150.0,239.0,266.0,69.5,58.0,20.0,11.0,32.0,40.0,58.0,8.0,6.0,66.7
5312,2011.0,22.0,0.0,0.0,134.0,77.0,57.0,1.0,5.0,192.0,136.0,328.0,1.41,64.0,65.0,55.0,25.0,17.0,20.0,13.0,13.0,1.0,34.0,58.8,16.4,9.65,49.0,39.0,31.0,55.0,1.62,2.75,60.0,36.4,188.2,89.5,24.8,98.7,5.0,9.0,2.0,6.0,150.0,178.0,232.0,70.7,39.0,10.0,13.0,49.0,31.0,54.0,19.0,13.0,65.0,204.0,165.0,369.0,1.24,72.0,78.0,37.0,17.0,25.0,11.0,7.0,9.0,2.0,22.0,50.0,33.55,16.77,44.0,50.0,29.0,48.0,2.18,4.36,41.7,22.9,187.6,86.5,24.74,94.4,8.0,5.0,4.0,5.0,146.0,217.0,268.0,72.6,50.0,3.0,7.0,44.0,29.0,46.0,10.0,7.0,63.6
