,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Clangers2,Contested Marks,Marks Inside 50,Clearances2,Rebound 50s2,1%ers,Bounces,Goals Assists2,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Clangers2(O),Contested Marks(O),Marks Inside 50(O),Clearances2(O),Rebound 50s2(O),1%ers(O),Bounces(O),Goals Assists2(O),Goal Assist %(O)
5232,2011.0,12.0,0.0,0.0,81.0,57.0,24.0,1.0,18.0,203.0,167.0,370.0,1.22,91.0,91.0,34.0,19.0,20.0,12.0,6.0,7.0,2.0,21.0,57.1,30.83,17.62,33.0,50.0,33.0,45.0,2.14,3.75,42.2,26.7,186.5,86.5,25.74,106.4,6.0,5.0,4.0,7.0,136.0,240.0,275.0,74.3,50.0,15.0,10.0,33.0,33.0,40.0,21.0,6.0,50.0,178.0,196.0,374.0,0.91,68.0,71.0,40.0,20.0,19.0,8.0,5.0,8.0,1.0,17.0,47.1,46.75,22.0,33.0,54.0,30.0,42.0,2.47,5.25,38.1,19.0,187.5,88.0,24.41,79.0,10.0,3.0,5.0,4.0,155.0,220.0,255.0,68.2,54.0,9.0,7.0,33.0,30.0,56.0,7.0,5.0,62.5
5244,2011.0,13.0,0.0,1.0,72.0,100.0,-28.0,0.0,7.0,183.0,182.0,365.0,1.01,81.0,68.0,51.0,21.0,16.0,11.0,9.0,6.0,0.0,17.0,64.7,33.18,21.47,38.0,43.0,36.0,46.0,2.71,4.18,37.0,23.9,186.7,87.0,26.49,122.0,4.0,5.0,4.0,9.0,126.0,241.0,281.0,77.0,43.0,17.0,14.0,38.0,36.0,48.0,13.0,9.0,81.8,211.0,158.0,369.0,1.34,103.0,45.0,40.0,17.0,21.0,15.0,10.0,8.0,2.0,25.0,60.0,24.6,14.76,36.0,49.0,34.0,54.0,2.16,3.6,42.6,27.8,188.2,89.7,27.16,140.5,5.0,3.0,2.0,12.0,128.0,230.0,282.0,76.4,49.0,14.0,10.0,36.0,34.0,39.0,6.0,10.0,66.7
5263,2011.0,15.0,1.0,1.0,79.0,70.0,9.0,1.0,12.0,227.0,167.0,394.0,1.36,122.0,75.0,28.0,17.0,24.0,12.0,7.0,5.0,2.0,19.0,63.2,32.83,20.74,31.0,61.0,41.0,47.0,2.47,3.92,36.2,25.5,186.9,86.9,25.91,109.0,5.0,5.0,5.0,7.0,141.0,261.0,295.0,74.9,61.0,14.0,16.0,31.0,41.0,51.0,21.0,7.0,58.3,167.0,130.0,297.0,1.28,45.0,71.0,50.0,24.0,16.0,10.0,7.0,10.0,0.0,20.0,50.0,29.7,14.85,36.0,51.0,32.0,53.0,2.65,5.3,37.7,18.9,186.5,87.3,25.0,90.0,9.0,7.0,1.0,5.0,141.0,155.0,198.0,66.7,51.0,7.0,9.0,36.0,32.0,45.0,5.0,7.0,70.0
5269,2011.0,16.0,1.0,1.0,109.0,53.0,56.0,1.0,13.0,201.0,172.0,373.0,1.17,90.0,73.0,47.0,18.0,30.0,17.0,13.0,7.0,0.0,24.0,70.8,21.94,15.54,46.0,57.0,24.0,56.0,2.33,3.29,42.9,30.4,186.9,86.9,25.91,110.0,5.0,5.0,5.0,7.0,129.0,250.0,283.0,75.9,57.0,12.0,15.0,46.0,24.0,47.0,11.0,13.0,76.5,195.0,146.0,341.0,1.34,98.0,54.0,39.0,30.0,18.0,8.0,6.0,4.0,1.0,13.0,61.5,42.62,26.23,38.0,46.0,36.0,32.0,2.46,4.0,37.5,25.0,186.5,86.9,24.8,80.2,10.0,5.0,3.0,4.0,129.0,214.0,244.0,71.6,46.0,12.0,6.0,38.0,36.0,41.0,10.0,6.0,75.0
5274,2011.0,17.0,0.0,0.0,82.0,61.0,21.0,1.0,17.0,222.0,183.0,405.0,1.21,96.0,71.0,19.0,11.0,19.0,13.0,10.0,3.0,1.0,17.0,76.5,31.15,23.82,34.0,38.0,37.0,49.0,2.88,3.77,32.7,26.5,187.1,87.2,26.24,118.4,4.0,5.0,5.0,8.0,134.0,261.0,316.0,78.0,38.0,12.0,12.0,34.0,37.0,42.0,10.0,10.0,76.9,205.0,129.0,334.0,1.59,106.0,70.0,55.0,19.0,11.0,9.0,7.0,3.0,4.0,16.0,56.2,37.11,20.88,37.0,46.0,35.0,47.0,2.94,5.22,25.5,19.1,189.9,90.3,24.16,89.2,8.0,7.0,3.0,4.0,138.0,202.0,248.0,74.3,46.0,17.0,10.0,37.0,35.0,56.0,5.0,7.0,77.8
5279,2011.0,18.0,0.0,0.0,127.0,24.0,103.0,1.0,1.0,245.0,192.0,437.0,1.28,163.0,83.0,18.0,18.0,20.0,19.0,16.0,10.0,3.0,32.0,59.4,23.0,13.66,31.0,44.0,31.0,48.0,1.5,2.53,60.4,39.6,186.9,86.6,26.24,117.7,5.0,4.0,5.0,8.0,118.0,326.0,347.0,79.4,44.0,11.0,21.0,31.0,31.0,32.0,12.0,16.0,84.2,174.0,145.0,319.0,1.2,98.0,52.0,44.0,20.0,18.0,3.0,2.0,4.0,2.0,9.0,33.3,106.33,35.44,22.0,51.0,26.0,35.0,3.89,11.67,20.0,8.6,188.3,87.6,24.16,78.2,10.0,5.0,2.0,5.0,112.0,203.0,229.0,71.8,51.0,10.0,10.0,22.0,26.0,25.0,1.0,2.0,66.7
5290,2011.0,19.0,1.0,1.0,74.0,54.0,20.0,1.0,8.0,259.0,177.0,436.0,1.46,134.0,60.0,35.0,12.0,20.0,10.0,7.0,13.0,1.0,24.0,41.7,43.6,18.17,29.0,50.0,47.0,57.0,2.38,5.7,40.4,17.5,186.8,86.2,25.8,109.2,6.0,4.0,5.0,7.0,125.0,306.0,320.0,73.4,50.0,8.0,9.0,29.0,47.0,57.0,7.0,7.0,70.0,204.0,161.0,365.0,1.27,82.0,49.0,28.0,20.0,12.0,6.0,4.0,14.0,4.0,24.0,25.0,60.83,15.21,31.0,42.0,41.0,53.0,2.21,8.83,37.7,11.3,188.3,85.3,22.41,58.0,14.0,2.0,3.0,3.0,148.0,222.0,257.0,70.4,42.0,11.0,5.0,31.0,41.0,57.0,5.0,4.0,66.7
5294,2011.0,20.0,0.0,0.0,113.0,72.0,41.0,1.0,6.0,236.0,176.0,412.0,1.34,120.0,60.0,54.0,22.0,17.0,16.0,14.0,12.0,5.0,33.0,48.5,25.75,12.48,41.0,43.0,27.0,61.0,1.85,3.81,45.9,26.2,186.6,86.4,26.49,125.1,5.0,3.0,5.0,9.0,132.0,281.0,303.0,73.5,43.0,7.0,18.0,41.0,27.0,61.0,14.0,14.0,87.5,177.0,151.0,328.0,1.17,79.0,78.0,38.0,17.0,22.0,10.0,7.0,6.0,6.0,22.0,45.5,32.8,14.91,34.0,54.0,40.0,42.0,1.91,4.2,38.1,23.8,188.4,87.1,24.41,76.3,12.0,5.0,1.0,4.0,128.0,197.0,238.0,72.6,54.0,11.0,8.0,34.0,40.0,43.0,6.0,7.0,70.0
5302,2011.0,21.0,0.0,1.0,70.0,89.0,-19.0,0.0,4.0,201.0,155.0,356.0,1.3,87.0,76.0,45.0,24.0,15.0,10.0,7.0,9.0,1.0,20.0,50.0,35.6,17.8,39.0,47.0,34.0,54.0,2.7,5.4,35.2,18.5,187.1,86.9,26.58,127.8,4.0,4.0,5.0,9.0,131.0,219.0,250.0,70.2,47.0,13.0,11.0,39.0,34.0,61.0,7.0,7.0,70.0,235.0,153.0,388.0,1.54,112.0,62.0,33.0,15.0,24.0,14.0,9.0,3.0,2.0,19.0,73.7,27.71,20.42,35.0,63.0,41.0,48.0,2.53,3.43,35.4,29.2,186.5,88.9,25.49,127.9,4.0,4.0,5.0,9.0,139.0,247.0,284.0,73.2,63.0,12.0,13.0,35.0,41.0,50.0,14.0,9.0,64.3
5315,2011.0,22.0,1.0,0.0,68.0,83.0,-15.0,0.0,16.0,194.0,138.0,332.0,1.41,75.0,86.0,32.0,22.0,33.0,10.0,6.0,6.0,2.0,18.0,55.6,33.2,18.44,32.0,62.0,50.0,52.0,2.89,5.2,30.8,19.2,186.1,86.0,26.49,127.0,4.0,4.0,5.0,9.0,136.0,187.0,236.0,71.1,62.0,11.0,8.0,32.0,50.0,59.0,6.0,6.0,60.0,205.0,150.0,355.0,1.37,75.0,72.0,62.0,33.0,22.0,10.0,6.0,20.0,3.0,33.0,30.3,35.5,10.76,50.0,50.0,40.0,67.0,2.03,6.7,44.8,14.9,187.1,87.2,25.16,102.5,8.0,6.0,1.0,7.0,168.0,185.0,241.0,67.9,50.0,22.0,10.0,50.0,40.0,59.0,16.0,6.0,60.0
5321,2011.0,23.0,0.0,0.0,135.0,70.0,65.0,1.0,12.0,222.0,144.0,366.0,1.54,100.0,50.0,33.0,23.0,12.0,19.0,14.0,17.0,4.0,40.0,47.5,19.26,9.15,29.0,30.0,34.0,59.0,1.48,3.11,61.0,32.2,187.1,86.9,26.58,129.7,2.0,6.0,5.0,9.0,147.0,214.0,266.0,72.7,30.0,14.0,18.0,29.0,34.0,47.0,15.0,14.0,73.7,206.0,144.0,350.0,1.43,98.0,46.0,38.0,12.0,23.0,10.0,7.0,7.0,3.0,20.0,50.0,35.0,17.5,32.0,55.0,35.0,48.0,2.4,4.8,35.4,20.8,185.2,85.3,24.58,89.8,9.0,7.0,1.0,5.0,129.0,217.0,258.0,73.7,55.0,10.0,15.0,32.0,35.0,39.0,4.0,7.0,70.0
5329,2011.0,24.0,1.0,1.0,86.0,66.0,20.0,1.0,3.0,196.0,156.0,352.0,1.26,85.0,63.0,25.0,18.0,21.0,13.0,12.0,6.0,2.0,21.0,61.9,27.08,16.76,34.0,51.0,35.0,51.0,2.43,3.92,37.3,25.5,187.8,87.8,27.0,136.7,1.0,6.0,5.0,10.0,124.0,227.0,268.0,76.1,51.0,10.0,11.0,34.0,35.0,56.0,12.0,12.0,92.3,252.0,172.0,424.0,1.47,144.0,42.0,36.0,21.0,18.0,9.0,8.0,7.0,5.0,21.0,42.9,47.11,20.19,29.0,50.0,36.0,46.0,2.19,5.11,34.8,19.6,187.1,85.7,24.0,80.7,8.0,6.0,5.0,3.0,139.0,278.0,325.0,76.7,50.0,15.0,13.0,29.0,36.0,40.0,23.0,8.0,88.9
5336,2011.0,25.0,0.0,1.0,57.0,82.0,-25.0,0.0,16.0,216.0,171.0,387.0,1.26,95.0,59.0,33.0,20.0,19.0,8.0,7.0,8.0,1.0,17.0,47.1,48.38,22.76,37.0,57.0,37.0,53.0,3.12,6.62,30.2,15.1,187.1,86.9,26.66,131.7,1.0,7.0,5.0,9.0,148.0,233.0,269.0,69.5,57.0,15.0,9.0,37.0,37.0,46.0,12.0,7.0,87.5,202.0,124.0,326.0,1.63,78.0,69.0,42.0,20.0,20.0,12.0,3.0,8.0,2.0,22.0,54.5,27.17,14.82,32.0,37.0,42.0,51.0,2.32,4.25,39.2,23.5,187.4,87.8,25.33,110.6,5.0,8.0,1.0,8.0,135.0,183.0,234.0,71.8,37.0,14.0,10.0,32.0,42.0,56.0,16.0,3.0,25.0
5351,2012.0,1.0,1.0,0.0,85.0,89.0,-4.0,0.0,13.0,225.0,113.0,338.0,1.99,114.0,71.0,40.0,21.0,32.0,13.0,11.0,6.0,1.0,20.0,65.0,26.0,16.9,29.0,54.0,34.0,42.0,2.1,3.23,45.2,31.0,187.5,86.8,26.74,122.2,4.0,5.0,4.0,9.0,127.0,205.0,244.0,72.2,54.0,11.0,9.0,29.0,34.0,46.0,20.0,11.0,84.6,192.0,140.0,332.0,1.37,75.0,70.0,40.0,32.0,21.0,13.0,8.0,10.0,1.0,24.0,54.2,25.54,13.83,44.0,49.0,27.0,50.0,2.08,3.85,46.0,26.0,188.9,87.8,24.0,75.4,10.0,5.0,4.0,3.0,152.0,179.0,225.0,67.8,49.0,16.0,9.0,44.0,27.0,37.0,12.0,8.0,61.5
5359,2012.0,2.0,0.0,0.0,139.0,47.0,92.0,1.0,8.0,244.0,161.0,405.0,1.52,106.0,82.0,40.0,19.0,21.0,21.0,8.0,12.0,1.0,34.0,61.8,19.29,11.91,45.0,36.0,28.0,57.0,1.68,2.71,57.9,36.8,187.1,86.4,25.8,108.0,7.0,4.0,2.0,9.0,152.0,245.0,314.0,77.5,36.0,12.0,17.0,45.0,28.0,60.0,22.0,8.0,38.1,139.0,191.0,330.0,0.73,51.0,64.0,36.0,21.0,19.0,7.0,6.0,5.0,0.0,12.0,58.3,47.14,27.5,31.0,37.0,29.0,36.0,3.0,5.14,33.3,19.4,187.5,83.1,22.24,47.1,16.0,2.0,2.0,2.0,127.0,206.0,234.0,70.9,37.0,9.0,5.0,31.0,29.0,54.0,20.0,6.0,85.7
5365,2012.0,3.0,1.0,1.0,103.0,40.0,63.0,1.0,18.0,248.0,144.0,392.0,1.72,128.0,69.0,32.0,25.0,17.0,15.0,10.0,12.0,1.0,28.0,53.6,26.13,14.0,30.0,59.0,40.0,46.0,1.64,3.07,58.7,32.6,187.5,86.7,26.8,112.2,6.0,4.0,3.0,9.0,139.0,251.0,288.0,73.5,59.0,16.0,11.0,30.0,40.0,57.0,33.0,10.0,66.7,185.0,167.0,352.0,1.11,83.0,54.0,39.0,17.0,24.0,5.0,3.0,7.0,3.0,15.0,33.3,70.4,23.47,33.0,66.0,28.0,50.0,3.33,10.0,24.0,10.0,187.8,87.5,25.0,91.7,10.0,3.0,2.0,7.0,137.0,218.0,238.0,67.6,66.0,11.0,6.0,33.0,28.0,49.0,4.0,3.0,60.0
5370,2012.0,4.0,0.0,1.0,79.0,92.0,-13.0,0.0,6.0,209.0,156.0,365.0,1.34,86.0,64.0,28.0,12.0,12.0,11.0,6.0,11.0,2.0,24.0,45.8,33.18,15.21,43.0,46.0,25.0,56.0,2.33,5.09,39.3,19.6,187.5,86.7,26.8,113.2,6.0,4.0,3.0,9.0,156.0,210.0,257.0,70.4,46.0,15.0,16.0,43.0,25.0,49.0,15.0,6.0,54.5,215.0,172.0,387.0,1.25,91.0,57.0,54.0,12.0,12.0,14.0,13.0,6.0,2.0,22.0,63.6,27.64,17.59,30.0,37.0,41.0,44.0,2.0,3.14,45.5,31.8,189.2,90.0,25.33,89.8,7.0,8.0,3.0,4.0,141.0,236.0,276.0,71.3,37.0,8.0,12.0,30.0,41.0,41.0,2.0,13.0,92.9
5384,2012.0,5.0,1.0,1.0,84.0,66.0,18.0,1.0,11.0,200.0,125.0,325.0,1.6,50.0,98.0,36.0,22.0,21.0,12.0,5.0,10.0,2.0,24.0,50.0,27.08,13.54,43.0,56.0,31.0,66.0,2.75,5.5,33.3,18.2,187.5,87.5,26.41,113.2,6.0,4.0,4.0,8.0,159.0,156.0,221.0,68.0,56.0,7.0,11.0,43.0,31.0,73.0,8.0,5.0,41.7,202.0,136.0,338.0,1.49,47.0,102.0,69.0,21.0,22.0,10.0,5.0,5.0,1.0,16.0,62.5,33.8,21.12,51.0,53.0,51.0,44.0,2.75,4.4,34.1,22.7,187.5,87.3,24.16,70.8,10.0,4.0,7.0,1.0,164.0,163.0,205.0,60.7,53.0,6.0,3.0,51.0,51.0,72.0,3.0,5.0,50.0
5393,2012.0,6.0,0.0,1.0,88.0,123.0,-35.0,0.0,10.0,194.0,132.0,326.0,1.47,82.0,62.0,35.0,19.0,19.0,13.0,9.0,7.0,3.0,23.0,56.5,25.08,14.17,37.0,51.0,33.0,45.0,1.96,3.46,44.4,28.9,186.8,86.3,26.49,118.5,6.0,3.0,4.0,9.0,134.0,190.0,246.0,75.5,51.0,13.0,13.0,37.0,33.0,56.0,17.0,9.0,69.2,236.0,155.0,391.0,1.52,117.0,60.0,41.0,19.0,19.0,18.0,9.0,10.0,5.0,33.0,54.5,21.72,11.85,36.0,47.0,27.0,54.0,1.64,3.0,51.9,33.3,186.3,86.2,25.8,102.7,9.0,2.0,3.0,8.0,130.0,264.0,306.0,78.3,47.0,9.0,16.0,36.0,27.0,63.0,5.0,9.0,50.0
5405,2012.0,7.0,0.0,0.0,122.0,98.0,24.0,1.0,3.0,223.0,124.0,347.0,1.8,95.0,66.0,25.0,24.0,20.0,19.0,12.0,8.0,0.0,27.0,70.4,18.26,12.85,42.0,42.0,34.0,47.0,1.74,2.47,57.4,40.4,186.9,86.6,26.41,116.0,7.0,2.0,5.0,8.0,136.0,210.0,258.0,74.4,42.0,14.0,9.0,42.0,34.0,45.0,11.0,12.0,63.2,191.0,131.0,322.0,1.46,68.0,79.0,60.0,20.0,24.0,14.0,11.0,12.0,2.0,28.0,50.0,23.0,11.5,37.0,51.0,23.0,51.0,1.82,3.64,51.0,27.5,186.6,86.5,25.8,94.4,4.0,9.0,5.0,4.0,141.0,181.0,219.0,68.0,51.0,6.0,16.0,37.0,23.0,38.0,13.0,11.0,78.6
