Match_ID,Year,Round,H/A?,H/A Win?,Points For,Points Against,Margin,"Team Won? (1=W, 0=L)",Team_against_ID,Kicks,Handballs,Disposals,Kick to HB Ratio,Marks,Tackles,Hitouts,Frees For,Frees Against,Goals Kicked,Goal Assists1,Behinds Kicked,Rushed Behinds,Scoring Shots,Conversion %,Disposals Per Goal,Disposals Per Scoring Shot,Clearances1,Clangers1,Rebound 50s1,Inside 50s,In50s Per Scoring Shot,In50s Per Goal,% In50s Score,% In50s Goal,Height,Weight,Age,Av Games,<50 Games,50-99 Games,100-149 Games,>150 Games,Contested Poss,Uncontested Poss,Effective Disposals,Disposal Efficiency,Clangers2,Contested Marks,Marks Inside 50,Clearances2,Rebound 50s2,1%ers,Bounces,Goals Assists2,Goal Assist %,Kicks (O),Handballs (O),Disposals (O),Kick to HB Ratio (O),Marks (O),Tackles(O),Hitouts(O),Frees For(O),Frees Against(O),Goals Kicked(O),Goal Assists1(O),Behinds Kicked(O),Rushed Behinds(O),Scoring Shots(O),Conversion %(O),Disposals Per Goal(O),Disposals Per Scoring Shot(O),Clearances1(O),Clangers1(O),Rebound 50s1(O),Inside 50s(O),In50s Per Scoring Shot(O),In50s Per Goal(O),% In50s Score(O),% In50s Goal(O),Height(O),Weight(O),Age(O),Av Games(O),<50 Games(O),50-99 Games(O),100-149 Games(O),>150 Games(O),Contested Poss(O),Uncontested Poss(O),Effective Disposals(O),Disposal Efficiency(O),Clangers2(O),Contested Marks(O),Marks Inside 50(O),Clearances2(O),Rebound 50s2(O),1%ers(O),Bounces(O),Goals Assists2(O),Goal Assist %(O)
5239,2011.0,12.0,1.0,1.0,129.0,41.0,88.0,1.0,11.0,226.0,168.0,394.0,1.35,91.0,67.0,26.0,21.0,15.0,19.0,12.0,13.0,2.0,34.0,55.9,20.74,11.59,41.0,48.0,28.0,74.0,2.18,3.89,43.2,25.7,187.8,90.5,24.8,102.7,7.0,4.0,6.0,5.0,168.0,229.0,283.0,71.8,48.0,14.0,17.0,41.0,28.0,56.0,13.0,12.0,63.2,183.0,172.0,355.0,1.06,90.0,70.0,50.0,15.0,21.0,6.0,4.0,4.0,1.0,11.0,54.5,59.17,32.27,30.0,54.0,50.0,34.0,3.09,5.67,29.4,17.6,187.5,84.7,22.66,57.6,13.0,3.0,5.0,1.0,123.0,225.0,254.0,71.5,54.0,15.0,10.0,30.0,50.0,56.0,25.0,4.0,66.7
5251,2011.0,14.0,1.0,1.0,99.0,93.0,6.0,1.0,16.0,194.0,130.0,324.0,1.49,84.0,73.0,31.0,23.0,19.0,13.0,10.0,20.0,1.0,34.0,38.2,24.92,9.53,35.0,35.0,25.0,58.0,1.71,4.46,56.9,22.4,187.8,90.7,25.24,115.2,5.0,4.0,7.0,6.0,144.0,177.0,231.0,71.3,35.0,20.0,15.0,35.0,25.0,62.0,11.0,10.0,76.9,186.0,144.0,330.0,1.29,71.0,74.0,49.0,19.0,23.0,14.0,10.0,5.0,4.0,23.0,60.9,23.57,14.35,37.0,49.0,37.0,42.0,1.83,3.0,45.2,33.3,187.1,88.4,25.74,112.0,6.0,6.0,3.0,7.0,152.0,176.0,234.0,70.9,49.0,11.0,5.0,37.0,37.0,59.0,1.0,10.0,71.4
5262,2011.0,15.0,0.0,0.0,106.0,65.0,41.0,1.0,10.0,216.0,170.0,386.0,1.27,90.0,81.0,29.0,19.0,15.0,15.0,7.0,12.0,4.0,31.0,48.4,25.73,12.45,37.0,43.0,31.0,59.0,1.9,3.93,45.8,25.4,187.0,90.4,25.0,111.7,7.0,2.0,6.0,7.0,147.0,238.0,279.0,72.3,43.0,10.0,13.0,37.0,31.0,50.0,26.0,7.0,46.7,230.0,179.0,409.0,1.28,118.0,57.0,40.0,15.0,19.0,9.0,6.0,10.0,1.0,20.0,45.0,45.44,20.45,31.0,61.0,38.0,44.0,2.2,4.89,43.2,20.5,187.0,86.4,24.74,86.1,10.0,3.0,4.0,5.0,135.0,274.0,296.0,72.4,61.0,13.0,7.0,31.0,38.0,69.0,15.0,6.0,66.7
5268,2011.0,16.0,0.0,0.0,147.0,30.0,117.0,1.0,12.0,252.0,137.0,389.0,1.84,90.0,84.0,25.0,19.0,21.0,22.0,15.0,9.0,6.0,37.0,59.5,17.68,10.51,37.0,53.0,36.0,66.0,1.78,3.0,47.0,33.3,187.5,90.1,25.0,110.8,6.0,3.0,6.0,7.0,170.0,208.0,277.0,71.2,53.0,15.0,21.0,37.0,36.0,64.0,10.0,15.0,68.2,173.0,116.0,289.0,1.49,56.0,71.0,47.0,21.0,19.0,3.0,1.0,11.0,1.0,15.0,20.0,96.33,19.27,49.0,57.0,36.0,47.0,3.13,15.67,29.8,6.4,186.2,86.1,24.33,84.1,9.0,8.0,0.0,5.0,143.0,144.0,183.0,63.3,57.0,7.0,7.0,49.0,36.0,53.0,5.0,1.0,33.3
5273,2011.0,17.0,1.0,1.0,98.0,79.0,19.0,1.0,3.0,218.0,123.0,341.0,1.77,104.0,64.0,32.0,15.0,20.0,13.0,8.0,14.0,6.0,33.0,39.4,26.23,10.33,35.0,44.0,33.0,58.0,1.76,4.46,46.6,22.4,187.4,89.5,25.8,115.0,6.0,3.0,5.0,8.0,137.0,203.0,247.0,72.4,44.0,21.0,21.0,35.0,33.0,55.0,9.0,8.0,61.5,196.0,142.0,338.0,1.38,83.0,51.0,41.0,20.0,15.0,11.0,10.0,12.0,1.0,24.0,45.8,30.73,14.08,36.0,41.0,38.0,47.0,1.96,4.27,48.9,23.4,178.4,82.5,23.91,76.1,11.0,3.0,5.0,3.0,138.0,196.0,249.0,73.7,41.0,11.0,16.0,36.0,38.0,49.0,20.0,10.0,90.9
5282,2011.0,18.0,1.0,1.0,129.0,75.0,54.0,1.0,8.0,254.0,184.0,438.0,1.38,114.0,61.0,37.0,17.0,15.0,19.0,13.0,12.0,3.0,34.0,55.9,23.05,12.88,37.0,40.0,29.0,77.0,2.26,4.05,40.3,24.7,188.2,90.6,25.0,107.9,7.0,3.0,5.0,7.0,150.0,282.0,337.0,76.9,40.0,12.0,12.0,37.0,29.0,41.0,11.0,13.0,68.4,179.0,184.0,363.0,0.97,75.0,55.0,37.0,15.0,17.0,11.0,9.0,9.0,0.0,20.0,55.0,33.0,18.15,40.0,50.0,51.0,41.0,2.05,3.73,48.8,26.8,187.9,84.6,22.49,57.6,14.0,2.0,3.0,3.0,138.0,224.0,252.0,69.4,50.0,7.0,9.0,40.0,51.0,58.0,3.0,9.0,81.8
5292,2011.0,19.0,0.0,0.0,166.0,92.0,74.0,1.0,5.0,229.0,175.0,404.0,1.31,91.0,77.0,43.0,21.0,17.0,25.0,16.0,13.0,3.0,41.0,61.0,16.16,9.85,49.0,44.0,28.0,71.0,1.73,2.84,53.5,35.2,187.7,90.2,25.8,111.3,7.0,3.0,4.0,8.0,175.0,228.0,288.0,71.3,44.0,17.0,15.0,49.0,28.0,47.0,15.0,16.0,64.0,194.0,151.0,345.0,1.28,95.0,75.0,47.0,17.0,21.0,14.0,9.0,5.0,3.0,22.0,63.6,24.64,15.68,38.0,52.0,38.0,44.0,2.0,3.14,43.2,31.8,185.9,84.3,23.49,68.9,11.0,4.0,4.0,3.0,133.0,219.0,250.0,72.5,52.0,8.0,8.0,38.0,38.0,54.0,7.0,9.0,64.3
5298,2011.0,20.0,1.0,1.0,159.0,21.0,138.0,1.0,13.0,262.0,163.0,425.0,1.61,93.0,98.0,55.0,15.0,13.0,23.0,14.0,17.0,4.0,44.0,52.3,18.48,9.66,43.0,42.0,31.0,73.0,1.66,3.17,54.8,31.5,187.5,90.0,25.49,122.0,5.0,4.0,4.0,9.0,158.0,246.0,318.0,74.8,42.0,16.0,22.0,43.0,31.0,59.0,5.0,14.0,60.9,195.0,119.0,314.0,1.64,57.0,64.0,35.0,13.0,15.0,3.0,3.0,0.0,3.0,6.0,50.0,104.67,52.33,35.0,56.0,42.0,35.0,5.83,11.67,8.6,8.6,187.4,86.0,23.91,74.2,12.0,3.0,4.0,3.0,141.0,157.0,198.0,63.1,56.0,8.0,7.0,35.0,42.0,67.0,0.0,3.0,100.0
5302,2011.0,21.0,1.0,1.0,89.0,70.0,19.0,1.0,15.0,235.0,153.0,388.0,1.54,112.0,62.0,33.0,15.0,24.0,14.0,9.0,3.0,2.0,19.0,73.7,27.71,20.42,35.0,63.0,41.0,48.0,2.53,3.43,35.4,29.2,186.5,88.9,25.49,127.9,4.0,4.0,5.0,9.0,139.0,247.0,284.0,73.2,63.0,12.0,13.0,35.0,41.0,50.0,14.0,9.0,64.3,201.0,155.0,356.0,1.3,87.0,76.0,45.0,24.0,15.0,10.0,7.0,9.0,1.0,20.0,50.0,35.6,17.8,39.0,47.0,34.0,54.0,2.7,5.4,35.2,18.5,187.1,86.9,26.58,127.8,4.0,4.0,5.0,9.0,131.0,219.0,250.0,70.2,47.0,13.0,11.0,39.0,34.0,61.0,7.0,7.0,70.0
5314,2011.0,22.0,0.0,0.0,102.0,84.0,18.0,1.0,2.0,240.0,152.0,392.0,1.58,89.0,45.0,31.0,20.0,19.0,14.0,7.0,15.0,3.0,32.0,43.8,28.0,12.25,42.0,45.0,25.0,71.0,2.22,5.07,40.8,19.7,188.7,90.5,24.8,99.2,8.0,4.0,4.0,6.0,162.0,218.0,286.0,73.0,45.0,16.0,18.0,42.0,25.0,51.0,6.0,7.0,50.0,201.0,154.0,355.0,1.31,98.0,63.0,40.0,19.0,20.0,13.0,9.0,6.0,0.0,19.0,68.4,27.31,18.68,27.0,46.0,48.0,39.0,2.05,3.0,48.7,33.3,188.0,87.0,24.24,85.6,8.0,8.0,3.0,3.0,133.0,224.0,261.0,73.5,46.0,14.0,9.0,27.0,48.0,54.0,8.0,9.0,69.2
