team,year,Firstname,Surname,PAV_total
5,2020, Shaun,McKernan,5.68
5,2020, Zach,Merrett,19.11
5,2020, Irving,Mosquito,1.74
5,2020, Kobe,Mutch,0.09
5,2020, Darcy,Parish,16.69
5,2020, Andrew,Phillips,5.21
5,2020, Mason,Redman,5.55
5,2020, Jordan,Ridley,14.86
5,2020, Adam,Saad,18.11
5,2020, Dylan,Shiel,18.52
5,2020, Devon,Smith,12.72
5,2020, Will,Snelling,10.06
5,2020, James,Stewart,6.58
5,2020, Jake,Stringer,7.98
5,2020, Jacob,Townsend,5.82
5,2020, David,Zaharakis,6.03
5,2020, Brandon,Zerk-Thatcher,3.47
6,2020, Blake,Acres,4.84
6,2020, James,Aish,11.17
6,2020, Bailey,Banfield,2.84
6,2020, Brett,Bewley,8.01
6,2020, Connor,Blakely,2.66
6,2020, Andrew,Brayshaw,15.26
6,2020, Adam,Cerra,12.49
6,2020, Travis,Colyer,4.28
6,2020, Reece,Conca,8.85
6,2020, Brennan,Cox,10.41
6,2020, Mitch,Crowden,5.63
6,2020, Sean,Darcy,12.49
6,2020, Taylin,Duman,10.84
6,2020, Michael,Frederick,3.54
6,2020, Nat,Fyfe,17.3
6,2020, Liam,Henry,1.09
6,2020, Stephen,Hill,7.34
6,2020, Jesse,Hogan,3.88
6,2020, Ethan,Hughes,9.61
6,2020, Rory,Lobb,16.33
6,2020, Griffin,Logue,3.31
6,2020, Brandon,Matera,2.91
6,2020, Cam,McCarthy,0.52
6,2020, David,Mundy,15.36
6,2020, Luke,Ryan,19.85
6,2020, Lachie,Schultz,10.05
6,2020, Caleb,Serong,12.97
6,2020, Sam,Sturt,2.1
6,2020, Matthew,Taberner,15.86
6,2020, Darcy,Tucker,6.46
6,2020, Michael,Walters,17.56
6,2020, Tobe,Watson,2.04
6,2020, Nathan,Wilson,13.49
6,2020, Hayden,Young,2.6
8,2020, Ben,Ainsworth,14.43
8,2020, Noah,Anderson,13.5
8,2020, Charlie,Ballard,10.5
8,2020, Jack,Bowes,12.88
8,2020, Will,Brodie,0.31
8,2020, Connor,Budarick,6.92
8,2020, Sam,Collins,13.65
8,2020, Josh,Corbett,3.55
8,2020, Sam,Day,11.13
8,2020, Brandon,Ellis,12.54
8,2020, Jy,Farrar,0.35
8,2020, Brayden,Fiorini,3.46
8,2020, Sam,Flanders,2.26
8,2020, Caleb,Graham,4.89
8,2020, Hugh,Greenwood,18.14
8,2020, Pearce,Hanley,4.36
8,2020, Jarrod,Harbrow,5.93
8,2020, Nick,Holman,5.3
8,2020, Jesse,Joyce,0.73
8,2020, Ben,King,12.05
8,2020, Sean,Lemmens,3.4
8,2020, Jack,Lukosius,16.08
8,2020, Darcy,Macpherson,6.55
8,2020, Touk,Miller,17.9
8,2020, Wil,Powell,9.92
8,2020, Izak,Rankine,10.33
8,2020, Matt,Rowell,6.1
8,2020, Alex,Sexton,11.4
8,2020, Jeremy,Sharp,0.65
8,2020, David,Swallow,14.59
8,2020, Lachie,Weller,18.27
8,2020, Jarrod,Witts,18.8
7,2020, Gary,Ablett,9.91
7,2020, Tom,Atkins,4.58
7,2020, Jed,Bews,9.99
7,2020, Mark,Blicavs,16.68
7,2020, Jordan,Clark,0.78
7,2020, Brad,Close,2.67
7,2020, Charlie,Constable,0.99
7,2020, Luke,Dahlhaus,7.45
7,2020, Patrick,Dangerfield,27.98
7,2020, Mitch,Duncan,18.41
7,2020, Lachie,Fogarty,3.58
7,2020, Darcy,Fort,4.75
7,2020, Cameron,Guthrie,17.9
7,2020, Zach,Guthrie,1.07
7,2020, Tom,Hawkins,21.74
7,2020, Lachie,Henderson,8
7,2020, Jack,Henry,12.01
7,2020, Ben,Jarvis,0.13
7,2020, Josh,Jenkins,0.76
7,2020, Jake,Kolodjashnij,8.01
7,2020, Sam,Menegola,19.81
7,2020, Gryan,Miers,13.41
7,2020, Quinton,Narkle,2.76
7,2020, Mark,OConnor,10.36
7,2020, Brandan,Parfitt,13.09
7,2020, Esava,Ratugolea,6.68
7,2020, Gary,Rohan,13.07
7,2020, Joel,Selwood,12.47
7,2020, Sam,Simpson,4.07
7,2020, Rhys,Stanley,12.39
7,2020, Jack,Steven,5.65
7,2020, Tom,Stewart,16.71
7,2020, Harry,Taylor,9.53
7,2020, Zach,Tuohy,14.55
9,2020, Lachie,Ash,5.96
9,2020, Jack,Buckley,1.19
9,2020, Jye,Caldwell,4.72
9,2020, Jeremy,Cameron,16.26
9,2020, Stephen,Coniglio,15.44
9,2020, Aidan,Corr,12.43
9,2020, Isaac,Cumming,1.34
9,2020, Brent,Daniels,10.83
9,2020, Phil,Davis,5.2
9,2020, Matt,de Boer,6.26
9,2020, Jeremy,Finlayson,14.37
9,2020, Tom,Green,3.35
9,2020, Toby,Greene,13.73
9,2020, Jackson,Hately,2.99
9,2020, Nick,Haynes,15.59
9,2020, Bobby,Hill,2.69
9,2020, Harry,Himmelberg,13.63
9,2020, Jacob,Hopper,14.64
