"round.year","round.roundNumber","match.homeTeam.name","match.awayTeam.name","venue.name"
"2015",6,"Fremantle","Essendon","Domain Stadium"
"2015",6,"Carlton","Brisbane Lions","Marvel Stadium"
"2015",6,"Port Adelaide","West Coast Eagles","Adelaide Oval"
"2015",7,"Essendon","North Melbourne","Marvel Stadium"
"2015",7,"Adelaide Crows","St Kilda","Adelaide Oval"
"2015",7,"Hawthorn","Melbourne","MCG"
"2015",7,"Carlton","GWS Giants","Marvel Stadium"
"2015",7,"Sydney Swans","Geelong Cats","Accor Stadium Australia"
"2015",7,"West Coast Eagles","Gold Coast Suns","Domain Stadium"
"2015",7,"Western Bulldogs","Fremantle","Marvel Stadium"
"2015",7,"Richmond","Collingwood","MCG"
"2015",7,"Brisbane Lions","Port Adelaide","Gabba"
"2015",8,"Geelong Cats","Carlton","Marvel Stadium"
"2015",8,"St Kilda","West Coast Eagles","Marvel Stadium"
"2015",8,"GWS Giants","Adelaide Crows","GIANTS Stadium"
"2015",8,"Gold Coast Suns","Collingwood","Metricon Stadium"
"2015",8,"Hawthorn","Sydney Swans","MCG"
"2015",8,"Fremantle","North Melbourne","Domain Stadium"
"2015",8,"Essendon","Brisbane Lions","Marvel Stadium"
"2015",8,"Melbourne","Western Bulldogs","MCG"
"2015",8,"Port Adelaide","Richmond","Adelaide Oval"
"2015",9,"Sydney Swans","Carlton","SCG"
"2015",9,"Hawthorn","Gold Coast Suns","University of Tasmania Stadium"
"2015",9,"Melbourne","Port Adelaide","TIO Traeger Park"
"2015",9,"Western Bulldogs","GWS Giants","Marvel Stadium"
"2015",9,"Richmond","Essendon","MCG"
"2015",9,"Adelaide Crows","Fremantle","Adelaide Oval"
"2015",9,"Brisbane Lions","St Kilda","Gabba"
"2015",9,"Collingwood","North Melbourne","MCG"
"2015",9,"West Coast Eagles","Geelong Cats","Domain Stadium"
"2015",10,"Fremantle","Richmond","Domain Stadium"
"2015",10,"Carlton","Adelaide Crows","MCG"
"2015",10,"Gold Coast Suns","Sydney Swans","Metricon Stadium"
"2015",10,"Essendon","Geelong Cats","Marvel Stadium"
"2015",10,"Port Adelaide","Western Bulldogs","Adelaide Oval"
"2015",10,"GWS Giants","Brisbane Lions","GIANTS Stadium"
"2015",10,"North Melbourne","West Coast Eagles","Blundstone Arena"
"2015",10,"St Kilda","Hawthorn","Marvel Stadium"
"2015",10,"Melbourne","Collingwood","MCG"
"2015",11,"Port Adelaide","Geelong Cats","Adelaide Oval"
"2015",11,"Gold Coast Suns","Fremantle","Metricon Stadium"
"2015",11,"West Coast Eagles","Essendon","Domain Stadium"
"2015",11,"North Melbourne","Sydney Swans","Marvel Stadium"
"2015",11,"Collingwood","GWS Giants","MCG"
"2015",11,"St Kilda","Melbourne","Marvel Stadium"
"2015",12,"Adelaide Crows","Hawthorn","Adelaide Oval"
"2015",12,"Richmond","West Coast Eagles","MCG"
"2015",12,"Carlton","Port Adelaide","MCG"
"2015",12,"GWS Giants","North Melbourne","GIANTS Stadium"
"2015",12,"Western Bulldogs","Brisbane Lions","Marvel Stadium"
"2015",12,"Geelong Cats","Melbourne","GMHBA Stadium"
"2015",13,"Fremantle","Collingwood","Domain Stadium"
"2015",13,"Sydney Swans","Richmond","SCG"
"2015",13,"Hawthorn","Essendon","MCG"
"2015",13,"Brisbane Lions","Adelaide Crows","Gabba"
"2015",13,"St Kilda","Western Bulldogs","Marvel Stadium"
"2015",13,"Carlton","Gold Coast Suns","Marvel Stadium"
"2015",14,"Sydney Swans","Port Adelaide","SCG"
"2015",14,"Collingwood","Hawthorn","MCG"
"2015",14,"Richmond","GWS Giants","MCG"
"2015",14,"Gold Coast Suns","North Melbourne","Metricon Stadium"
"2015",14,"Western Bulldogs","Carlton","Marvel Stadium"
"2015",14,"Melbourne","West Coast Eagles","TIO Stadium"
"2015",14,"Essendon","St Kilda","Marvel Stadium"
"2015",14,"Fremantle","Brisbane Lions","Domain Stadium"
"2015",15,"Port Adelaide","Collingwood","Adelaide Oval"
"2015",15,"Richmond","Carlton","MCG"
"2015",15,"Essendon","Melbourne","MCG"
"2015",15,"Western Bulldogs","Gold Coast Suns","Cazalys Stadium"
"2015",15,"North Melbourne","Geelong Cats","Marvel Stadium"
"2015",15,"West Coast Eagles","Adelaide Crows","Domain Stadium"
"2015",15,"GWS Giants","St Kilda","GIANTS Stadium"
"2015",15,"Hawthorn","Fremantle","University of Tasmania Stadium"
"2015",15,"Brisbane Lions","Sydney Swans","Gabba"
"2015",16,"North Melbourne","Essendon","Marvel Stadium"
"2015",16,"Geelong Cats","Western Bulldogs","GMHBA Stadium"
"2015",16,"Gold Coast Suns","GWS Giants","Metricon Stadium"
"2015",16,"Collingwood","West Coast Eagles","Marvel Stadium"
"2015",16,"Sydney Swans","Hawthorn","Accor Stadium Australia"
"2015",16,"Fremantle","Carlton","Domain Stadium"
"2015",16,"Melbourne","Brisbane Lions","MCG"
"2015",16,"Port Adelaide","Adelaide Crows","Adelaide Oval"
"2015",16,"St Kilda","Richmond","Marvel Stadium"
"2015",17,"Carlton","Hawthorn","Marvel Stadium"
"2015",17,"GWS Giants","Geelong Cats","Manuka Oval"
"2015",17,"Adelaide Crows","Gold Coast Suns","Adelaide Oval"
"2015",17,"Richmond","Fremantle","MCG"
"2015",17,"Essendon","Port Adelaide","Marvel Stadium"
"2015",17,"Brisbane Lions","North Melbourne","Gabba"
"2015",17,"Western Bulldogs","Collingwood","Marvel Stadium"
"2015",17,"Melbourne","St Kilda","MCG"
"2015",17,"West Coast Eagles","Sydney Swans","Domain Stadium"
"2015",18,"Hawthorn","Richmond","MCG"
"2015",18,"Geelong Cats","Brisbane Lions","GMHBA Stadium"
"2015",18,"Collingwood","Melbourne","MCG"
"2015",18,"Sydney Swans","Adelaide Crows","SCG"
"2015",18,"Carlton","North Melbourne","Marvel Stadium"
"2015",18,"Gold Coast Suns","West Coast Eagles","Metricon Stadium"
"2015",18,"Port Adelaide","St Kilda","Adelaide Oval"
"2015",18,"Essendon","Western Bulldogs","Marvel Stadium"
"2015",18,"Fremantle","GWS Giants","Domain Stadium"
"2015",19,"Adelaide Crows","Richmond","Adelaide Oval"
"2015",19,"Collingwood","Carlton","MCG"
"2015",19,"Western Bulldogs","Port Adelaide","Marvel Stadium"
"2015",19,"Brisbane Lions","Gold Coast Suns","Gabba"
"2015",19,"Geelong Cats","Sydney Swans","GMHBA Stadium"
"2015",19,"West Coast Eagles","Hawthorn","Domain Stadium"
"2015",19,"Melbourne","North Melbourne","MCG"
"2015",19,"GWS Giants","Essendon","GIANTS Stadium"
"2015",19,"St Kilda","Fremantle","Marvel Stadium"
"2015",20,"Sydney Swans","Collingwood","SCG"
"2015",20,"Essendon","Adelaide Crows","Marvel Stadium"
"2015",20,"North Melbourne","St Kilda","Blundstone Arena"
"2015",20,"Port Adelaide","GWS Giants","Adelaide Oval"
"2015",20,"Geelong Cats","Hawthorn","MCG"
"2015",20,"Brisbane Lions","Carlton","Gabba"
"2015",20,"Richmond","Gold Coast Suns","MCG"
"2015",20,"Western Bulldogs","Melbourne","Marvel Stadium"
"2015",20,"Fremantle","West Coast Eagles","Domain Stadium"
"2015",21,"Hawthorn","Port Adelaide","Marvel Stadium"
"2015",21,"Collingwood","Richmond","MCG"
"2015",21,"GWS Giants","Sydney Swans","GIANTS Stadium"
"2015",21,"Gold Coast Suns","Essendon","Metricon Stadium"
"2015",21,"St Kilda","Geelong Cats","Marvel Stadium"
"2015",21,"Adelaide Crows","Brisbane Lions","Adelaide Oval"
"2015",21,"North Melbourne","Fremantle","Marvel Stadium"
"2015",21,"Carlton","Melbourne","MCG"
"2015",21,"West Coast Eagles","Western Bulldogs","Domain Stadium"
"2015",22,"Geelong Cats","Collingwood","MCG"
"2015",22,"GWS Giants","Carlton","GIANTS Stadium"
"2015",22,"Hawthorn","Brisbane Lions","University of Tasmania Stadium"
"2015",22,"North Melbourne","Western Bulldogs","Marvel Stadium"
"2015",22,"Essendon","Richmond","MCG"
"2015",22,"Gold Coast Suns","Port Adelaide","Metricon Stadium"
"2015",22,"Adelaide Crows","West Coast Eagles","Adelaide Oval"
"2015",22,"St Kilda","Sydney Swans","Marvel Stadium"
"2015",22,"Fremantle","Melbourne","Domain Stadium"
"2015",23,"Richmond","North Melbourne","Marvel Stadium"
"2015",23,"Geelong Cats","Adelaide Crows","GMHBA Stadium"
"2015",23,"Brisbane Lions","Western Bulldogs","Gabba"
"2015",23,"Port Adelaide","Fremantle","Adelaide Oval"
"2015",23,"Hawthorn","Carlton","MCG"
"2015",23,"Sydney Swans","Gold Coast Suns","SCG"
"2015",23,"West Coast Eagles","St Kilda","Domain Stadium"
"2015",23,"Melbourne","GWS Giants","Marvel Stadium"
"2015",23,"Collingwood","Essendon","MCG"
"2015",24,"West Coast Eagles","Hawthorn","Domain Stadium"
"2015",24,"Fremantle","Sydney Swans","Domain Stadium"
"2015",24,"Western Bulldogs","Adelaide Crows","MCG"
"2015",24,"Richmond","North Melbourne","MCG"
"2015",25,"Hawthorn","Adelaide Crows","MCG"
"2015",25,"Sydney Swans","North Melbourne","Accor Stadium Australia"
"2015",26,"Fremantle","Hawthorn","Domain Stadium"
"2015",26,"West Coast Eagles","North Melbourne","Domain Stadium"
"2015",27,"Hawthorn","West Coast Eagles","MCG"
"2016",1,"Richmond","Carlton","MCG"
"2016",1,"Melbourne","GWS Giants","MCG"
"2016",1,"Gold Coast Suns","Essendon","Metricon Stadium"
"2016",1,"North Melbourne","Adelaide Crows","Marvel Stadium"
"2016",1,"Sydney Swans","Collingwood","SCG"
"2016",1,"Western Bulldogs","Fremantle","Marvel Stadium"
"2016",1,"Port Adelaide","St Kilda","Adelaide Oval"
"2016",1,"West Coast Eagles","Brisbane Lions","Domain Stadium"
"2016",1,"Geelong Cats","Hawthorn","MCG"
"2016",2,"Collingwood","Richmond","MCG"
"2016",2,"Adelaide Crows","Port Adelaide","Adelaide Oval"
"2016",2,"Essendon","Melbourne","MCG"
"2016",2,"Brisbane Lions","North Melbourne","Gabba"
"2016",2,"St Kilda","Western Bulldogs","Marvel Stadium"
"2016",2,"Fremantle","Gold Coast Suns","Domain Stadium"
"2016",2,"GWS Giants","Geelong Cats","Manuka Oval"
"2016",2,"Hawthorn","West Coast Eagles","MCG"
"2016",2,"Carlton","Sydney Swans","Marvel Stadium"
"2016",3,"Port Adelaide","Essendon","Adelaide Oval"
"2016",3,"St Kilda","Collingwood","MCG"
"2016",3,"Richmond","Adelaide Crows","Marvel Stadium"
"2016",3,"Sydney Swans","GWS Giants","SCG"
"2016",3,"Gold Coast Suns","Carlton","Metricon Stadium"
"2016",3,"West Coast Eagles","Fremantle","Domain Stadium"
"2016",3,"North Melbourne","Melbourne","Blundstone Arena"
"2016",3,"Western Bulldogs","Hawthorn","Marvel Stadium"
"2016",3,"Geelong Cats","Brisbane Lions","GMHBA Stadium"
"2016",4,"West Coast Eagles","Richmond","Domain Stadium"
"2016",4,"Essendon","Geelong Cats","MCG"
"2016",4,"Hawthorn","St Kilda","University of Tasmania Stadium"
"2016",4,"Brisbane Lions","Gold Coast Suns","Gabba"
"2016",4,"Carlton","Western Bulldogs","Marvel Stadium"
"2016",4,"Adelaide Crows","Sydney Swans","Adelaide Oval"
"2016",4,"GWS Giants","Port Adelaide","Manuka Oval"
"2016",4,"Collingwood","Melbourne","MCG"
"2016",4,"North Melbourne","Fremantle","Marvel Stadium"
"2016",5,"Hawthorn","Adelaide Crows","MCG"
"2016",5,"Sydney Swans","West Coast Eagles","SCG"
"2016",5,"Gold Coast Suns","North Melbourne","Metricon Stadium"
"2016",5,"Western Bulldogs","Brisbane Lions","Marvel Stadium"
"2016",5,"Port Adelaide","Geelong Cats","Adelaide Oval"
"2016",5,"St Kilda","GWS Giants","Marvel Stadium"
"2016",5,"Fremantle","Carlton","Domain Stadium"
"2016",5,"Melbourne","Richmond","MCG"
"2016",5,"Collingwood","Essendon","MCG"
"2016",6,"North Melbourne","Western Bulldogs","Marvel Stadium"
"2016",6,"Melbourne","St Kilda","Marvel Stadium"
"2016",6,"Adelaide Crows","Fremantle","Adelaide Oval"
"2016",6,"GWS Giants","Hawthorn","GIANTS Stadium"
"2016",6,"Richmond","Port Adelaide","MCG"
"2016",6,"Geelong Cats","Gold Coast Suns","GMHBA Stadium"
"2016",6,"Brisbane Lions","Sydney Swans","Gabba"
"2016",6,"Carlton","Essendon","MCG"
"2016",6,"West Coast Eagles","Collingwood","Domain Stadium"
"2016",7,"Richmond","Hawthorn","MCG"
"2016",7,"Collingwood","Carlton","MCG"
"2016",7,"Geelong Cats","West Coast Eagles","GMHBA Stadium"
"2016",7,"Sydney Swans","Essendon","SCG"
"2016",7,"Gold Coast Suns","Melbourne","Metricon Stadium"
"2016",7,"Western Bulldogs","Adelaide Crows","Marvel Stadium"
"2016",7,"Fremantle","GWS Giants","Domain Stadium"
"2016",7,"St Kilda","North Melbourne","Marvel Stadium"
"2016",7,"Port Adelaide","Brisbane Lions","Adelaide Oval"
"2016",8,"Adelaide Crows","Geelong Cats","Adelaide Oval"
"2016",8,"Essendon","North Melbourne","Marvel Stadium"
"2016",8,"Hawthorn","Fremantle","University of Tasmania Stadium"
"2016",8,"GWS Giants","Gold Coast Suns","GIANTS Stadium"
"2016",8,"Brisbane Lions","Collingwood","Gabba"
"2016",8,"Richmond","Sydney Swans","MCG"
"2016",8,"Carlton","Port Adelaide","Marvel Stadium"
"2016",8,"Melbourne","Western Bulldogs","MCG"
"2016",8,"West Coast Eagles","St Kilda","Domain Stadium"
"2016",9,"Hawthorn","Sydney Swans","MCG"
"2016",9,"Collingwood","Geelong Cats","MCG"
"2016",9,"Gold Coast Suns","Adelaide Crows","Metricon Stadium"
"2016",9,"Port Adelaide","West Coast Eagles","Adelaide Oval"
"2016",9,"North Melbourne","Carlton","Marvel Stadium"
"2016",9,"Fremantle","Richmond","Domain Stadium"
"2016",9,"Melbourne","Brisbane Lions","MCG"
"2016",9,"GWS Giants","Western Bulldogs","GIANTS Stadium"
"2016",9,"St Kilda","Essendon","Marvel Stadium"
"2016",10,"Sydney Swans","North Melbourne","SCG"
"2016",10,"Brisbane Lions","Hawthorn","Gabba"
"2016",10,"Melbourne","Port Adelaide","TIO Traeger Park"
"2016",10,"St Kilda","Fremantle","Marvel Stadium"
"2016",10,"Essendon","Richmond","MCG"
"2016",10,"Adelaide Crows","GWS Giants","Adelaide Oval"
"2016",10,"Carlton","Geelong Cats","Marvel Stadium"
"2016",10,"Collingwood","Western Bulldogs","MCG"
"2016",10,"West Coast Eagles","Gold Coast Suns","Domain Stadium"
"2016",11,"North Melbourne","Richmond","Blundstone Arena"
"2016",11,"Hawthorn","Melbourne","MCG"
"2016",11,"Carlton","Brisbane Lions","Marvel Stadium"
"2016",11,"Geelong Cats","GWS Giants","GMHBA Stadium"
"2016",11,"Gold Coast Suns","Sydney Swans","Metricon Stadium"
"2016",11,"Fremantle","Essendon","Domain Stadium"
"2016",11,"Collingwood","Port Adelaide","MCG"
"2016",11,"Western Bulldogs","West Coast Eagles","Marvel Stadium"
"2016",11,"Adelaide Crows","St Kilda","Adelaide Oval"
"2016",12,"Essendon","Hawthorn","Marvel Stadium"
"2016",12,"Port Adelaide","Western Bulldogs","Adelaide Oval"
"2016",12,"Brisbane Lions","Fremantle","Gabba"
"2016",12,"Geelong Cats","North Melbourne","Marvel Stadium"
"2016",12,"West Coast Eagles","Adelaide Crows","Domain Stadium"
"2016",12,"St Kilda","Carlton","Marvel Stadium"
"2016",12,"Richmond","Gold Coast Suns","MCG"
"2016",12,"GWS Giants","Sydney Swans","GIANTS Stadium"
"2016",12,"Melbourne","Collingwood","MCG"
"2016",13,"North Melbourne","Hawthorn","Marvel Stadium"
"2016",13,"Brisbane Lions","West Coast Eagles","Gabba"
"2016",13,"Fremantle","Port Adelaide","Domain Stadium"
"2016",13,"Western Bulldogs","Geelong Cats","Marvel Stadium"
"2016",13,"Sydney Swans","Melbourne","SCG"
"2016",13,"Essendon","GWS Giants","Marvel Stadium"
"2016",14,"Adelaide Crows","North Melbourne","Adelaide Oval"
"2016",14,"Collingwood","Fremantle","MCG"
"2016",14,"Richmond","Brisbane Lions","MCG"
"2016",14,"GWS Giants","Carlton","GIANTS Stadium"
"2016",14,"St Kilda","Geelong Cats","Marvel Stadium"
"2016",14,"Hawthorn","Gold Coast Suns","University of Tasmania Stadium"
"2016",15,"West Coast Eagles","Essendon","Domain Stadium"
"2016",15,"Port Adelaide","Richmond","Adelaide Oval"
"2016",15,"Gold Coast Suns","St Kilda","Metricon Stadium"
"2016",15,"Sydney Swans","Western Bulldogs","SCG"
"2016",15,"Carlton","Collingwood","MCG"
"2016",15,"Melbourne","Adelaide Crows","MCG"
"2016",16,"Port Adelaide","Hawthorn","Adelaide Oval"
"2016",16,"Geelong Cats","Sydney Swans","GMHBA Stadium"
"2016",16,"GWS Giants","Collingwood","GIANTS Stadium"
"2016",16,"Gold Coast Suns","Brisbane Lions","Metricon Stadium"
"2016",16,"Western Bulldogs","Richmond","Marvel Stadium"
"2016",16,"Melbourne","Fremantle","TIO Stadium"
"2016",16,"Carlton","Adelaide Crows","MCG"
"2016",16,"West Coast Eagles","North Melbourne","Domain Stadium"
"2016",16,"Essendon","St Kilda","Marvel Stadium"
"2016",17,"Sydney Swans","Hawthorn","SCG"
"2016",17,"Fremantle","Geelong Cats","Domain Stadium"
"2016",17,"Richmond","Essendon","MCG"
"2016",17,"North Melbourne","Port Adelaide","Marvel Stadium"
"2016",17,"Western Bulldogs","Gold Coast Suns","Cazalys Stadium"
"2016",17,"Adelaide Crows","Collingwood","Adelaide Oval"
"2016",17,"Carlton","West Coast Eagles","MCG"
"2016",17,"St Kilda","Melbourne","Marvel Stadium"
"2016",17,"Brisbane Lions","GWS Giants","Gabba"
"2016",18,"Collingwood","North Melbourne","Marvel Stadium"
"2016",18,"Sydney Swans","Carlton","SCG"
"2016",18,"Gold Coast Suns","Fremantle","Metricon Stadium"
"2016",18,"West Coast Eagles","Melbourne","Domain Stadium"
"2016",18,"Western Bulldogs","St Kilda","Marvel Stadium"
"2016",18,"Geelong Cats","Adelaide Crows","GMHBA Stadium"
"2016",18,"Essendon","Brisbane Lions","Marvel Stadium"
"2016",18,"Hawthorn","Richmond","MCG"
"2016",18,"Port Adelaide","GWS Giants","Adelaide Oval"
"2016",19,"Geelong Cats","Western Bulldogs","GMHBA Stadium"
"2016",19,"GWS Giants","Richmond","Manuka Oval"
"2016",19,"Hawthorn","Carlton","University of Tasmania Stadium"
"2016",19,"Collingwood","West Coast Eagles","MCG"
"2016",19,"Brisbane Lions","Port Adelaide","Gabba"
"2016",19,"North Melbourne","St Kilda","Marvel Stadium"
"2016",19,"Melbourne","Gold Coast Suns","MCG"
"2016",19,"Fremantle","Sydney Swans","Domain Stadium"
"2016",19,"Adelaide Crows","Essendon","Adelaide Oval"
"2016",20,"Richmond","Collingwood","MCG"
"2016",20,"Sydney Swans","Port Adelaide","SCG"
"2016",20,"Melbourne","Hawthorn","MCG"
"2016",20,"Gold Coast Suns","GWS Giants","Metricon Stadium"
"2016",20,"Western Bulldogs","North Melbourne","Marvel Stadium"
"2016",20,"Adelaide Crows","Brisbane Lions","Adelaide Oval"
"2016",20,"Carlton","St Kilda","MCG"
"2016",20,"Geelong Cats","Essendon","Marvel Stadium"
"2016",20,"Fremantle","West Coast Eagles","Domain Stadium"
"2016",21,"Western Bulldogs","Collingwood","Marvel Stadium"
"2016",21,"Brisbane Lions","Carlton","Gabba"
"2016",21,"Hawthorn","North Melbourne","MCG"
"2016",21,"GWS Giants","West Coast Eagles","GIANTS Stadium"
"2016",21,"St Kilda","Sydney Swans","Marvel Stadium"
"2016",21,"Port Adelaide","Melbourne","Adelaide Oval"
"2016",21,"Essendon","Gold Coast Suns","Marvel Stadium"
"2016",21,"Richmond","Geelong Cats","MCG"
"2016",21,"Fremantle","Adelaide Crows","Domain Stadium"
"2016",22,"West Coast Eagles","Hawthorn","Domain Stadium"
"2016",22,"North Melbourne","Sydney Swans","Blundstone Arena"
"2016",22,"Richmond","St Kilda","MCG"
"2016",22,"GWS Giants","Fremantle","GIANTS Stadium"
"2016",22,"Collingwood","Gold Coast Suns","Marvel Stadium"
"2016",22,"Port Adelaide","Adelaide Crows","Adelaide Oval"
"2016",22,"Carlton","Melbourne","MCG"
"2016",22,"Brisbane Lions","Geelong Cats","Gabba"
"2016",22,"Essendon","Western Bulldogs","Marvel Stadium"
"2016",23,"Adelaide Crows","West Coast Eagles","Adelaide Oval"
"2016",23,"Geelong Cats","Melbourne","GMHBA Stadium"
"2016",23,"Essendon","Carlton","MCG"
"2016",23,"Sydney Swans","Richmond","SCG"
"2016",23,"Gold Coast Suns","Port Adelaide","Metricon Stadium"
"2016",23,"North Melbourne","GWS Giants","Marvel Stadium"
"2016",23,"St Kilda","Brisbane Lions","Marvel Stadium"
"2016",23,"Hawthorn","Collingwood","MCG"
"2016",23,"Fremantle","Western Bulldogs","Domain Stadium"
"2016",24,"West Coast Eagles","Western Bulldogs","Domain Stadium"
"2016",24,"Geelong Cats","Hawthorn","MCG"
"2016",24,"Sydney Swans","GWS Giants","Accor Stadium Australia"
"2016",24,"Adelaide Crows","North Melbourne","Adelaide Oval"
"2016",25,"Hawthorn","Western Bulldogs","MCG"
"2016",25,"Sydney Swans","Adelaide Crows","SCG"
"2016",26,"Geelong Cats","Sydney Swans","MCG"
"2016",26,"GWS Giants","Western Bulldogs","GIANTS Stadium"
"2016",27,"Sydney Swans","Western Bulldogs","MCG"
"2017",1,"Carlton","Richmond","MCG"
"2017",1,"Collingwood","Western Bulldogs","MCG"
"2017",1,"St Kilda","Melbourne","Marvel Stadium"
"2017",1,"Sydney Swans","Port Adelaide","SCG"
"2017",1,"Essendon","Hawthorn","MCG"
"2017",1,"Gold Coast Suns","Brisbane Lions","Metricon Stadium"
"2017",1,"North Melbourne","West Coast Eagles","Marvel Stadium"
"2017",1,"Adelaide Crows","GWS Giants","Adelaide Oval"
"2017",1,"Fremantle","Geelong Cats","Domain Stadium"
"2017",2,"Richmond","Collingwood","MCG"
"2017",2,"Western Bulldogs","Sydney Swans","Marvel Stadium"
"2017",2,"Hawthorn","Adelaide Crows","MCG"
"2017",2,"GWS Giants","Gold Coast Suns","GIANTS Stadium"
"2017",2,"Brisbane Lions","Essendon","Gabba"
"2017",2,"West Coast Eagles","St Kilda","Domain Stadium"
"2017",2,"Geelong Cats","North Melbourne","Marvel Stadium"
"2017",2,"Melbourne","Carlton","MCG"
"2017",2,"Port Adelaide","Fremantle","Adelaide Oval"
"2017",3,"Sydney Swans","Collingwood","SCG"
"2017",3,"North Melbourne","GWS Giants","Blundstone Arena"
"2017",3,"Richmond","West Coast Eagles","MCG"
"2017",3,"Geelong Cats","Melbourne","Marvel Stadium"
"2017",3,"Port Adelaide","Adelaide Crows","Adelaide Oval"
"2017",3,"Fremantle","Western Bulldogs","Domain Stadium"
"2017",3,"St Kilda","Brisbane Lions","Marvel Stadium"
"2017",3,"Carlton","Essendon","MCG"
"2017",3,"Gold Coast Suns","Hawthorn","Metricon Stadium"
"2017",4,"West Coast Eagles","Sydney Swans","Domain Stadium"
"2017",4,"North Melbourne","Western Bulldogs","Marvel Stadium"
"2017",4,"Melbourne","Fremantle","MCG"
"2017",4,"GWS Giants","Port Adelaide","Manuka Oval"
"2017",4,"Carlton","Gold Coast Suns","Marvel Stadium"
"2017",4,"Adelaide Crows","Essendon","Adelaide Oval"
"2017",4,"Collingwood","St Kilda","Marvel Stadium"
"2017",4,"Brisbane Lions","Richmond","Gabba"
"2017",4,"Hawthorn","Geelong Cats","MCG"
"2017",5,"Port Adelaide","Carlton","Adelaide Oval"
"2017",5,"Western Bulldogs","Brisbane Lions","Marvel Stadium"
"2017",5,"Gold Coast Suns","Adelaide Crows","Metricon Stadium"
"2017",5,"Sydney Swans","GWS Giants","SCG"
"2017",5,"Fremantle","North Melbourne","Domain Stadium"
"2017",5,"St Kilda","Geelong Cats","Marvel Stadium"
"2017",5,"Hawthorn","West Coast Eagles","MCG"
"2017",5,"Richmond","Melbourne","MCG"
"2017",5,"Essendon","Collingwood","MCG"
"2017",6,"GWS Giants","Western Bulldogs","Manuka Oval"
"2017",6,"Hawthorn","St Kilda","University of Tasmania Stadium"
"2017",6,"Carlton","Sydney Swans","MCG"
"2017",6,"Brisbane Lions","Port Adelaide","Gabba"
"2017",6,"North Melbourne","Gold Coast Suns","Marvel Stadium"
"2017",6,"West Coast Eagles","Fremantle","Domain Stadium"
"2017",6,"Essendon","Melbourne","Marvel Stadium"
"2017",6,"Geelong Cats","Collingwood","MCG"
"2017",6,"Adelaide Crows","Richmond","Adelaide Oval"
"2017",7,"St Kilda","GWS Giants","Marvel Stadium"
"2017",7,"North Melbourne","Adelaide Crows","Blundstone Arena"
"2017",7,"Collingwood","Carlton","MCG"
"2017",7,"Port Adelaide","West Coast Eagles","Adelaide Oval"
"2017",7,"Gold Coast Suns","Geelong Cats","Metricon Stadium"
"2017",7,"Western Bulldogs","Richmond","Marvel Stadium"
"2017",7,"Sydney Swans","Brisbane Lions","SCG"
"2017",7,"Melbourne","Hawthorn","MCG"
"2017",7,"Fremantle","Essendon","Domain Stadium"
"2017",8,"West Coast Eagles","Western Bulldogs","Domain Stadium"
"2017",8,"Hawthorn","Brisbane Lions","University of Tasmania Stadium"
"2017",8,"St Kilda","Carlton","Marvel Stadium"
"2017",8,"GWS Giants","Collingwood","GIANTS Stadium"
"2017",8,"Essendon","Geelong Cats","MCG"
"2017",8,"Adelaide Crows","Melbourne","Adelaide Oval"
"2017",8,"Richmond","Fremantle","MCG"
"2017",8,"Gold Coast Suns","Port Adelaide","Adelaide Arena at Jiangwan Stadium"
"2017",8,"North Melbourne","Sydney Swans","Marvel Stadium"
"2017",9,"Geelong Cats","Western Bulldogs","GMHBA Stadium"
"2017",9,"St Kilda","Sydney Swans","Marvel Stadium"
"2017",9,"GWS Giants","Richmond","GIANTS Stadium"
"2017",9,"Brisbane Lions","Adelaide Crows","Gabba"
"2017",9,"Collingwood","Hawthorn","MCG"
"2017",9,"Essendon","West Coast Eagles","Marvel Stadium"
"2017",9,"Melbourne","North Melbourne","MCG"
"2017",9,"Fremantle","Carlton","Domain Stadium"
"2017",10,"Geelong Cats","Port Adelaide","GMHBA Stadium"
"2017",10,"Sydney Swans","Hawthorn","SCG"
"2017",10,"Western Bulldogs","St Kilda","Marvel Stadium"
"2017",10,"Melbourne","Gold Coast Suns","TIO Traeger Park"
"2017",10,"Richmond","Essendon","MCG"
"2017",10,"Adelaide Crows","Fremantle","Adelaide Oval"
"2017",10,"Collingwood","Brisbane Lions","MCG"
"2017",10,"Carlton","North Melbourne","Marvel Stadium"
"2017",10,"West Coast Eagles","GWS Giants","Domain Stadium"
"2017",11,"Port Adelaide","Hawthorn","Adelaide Oval"
"2017",11,"Geelong Cats","Adelaide Crows","GMHBA Stadium"
"2017",11,"Gold Coast Suns","West Coast Eagles","Metricon Stadium"
"2017",11,"GWS Giants","Essendon","GIANTS Stadium"
"2017",11,"North Melbourne","Richmond","Marvel Stadium"
"2017",11,"Fremantle","Collingwood","Domain Stadium"
"2017",12,"Sydney Swans","Western Bulldogs","SCG"
"2017",12,"Adelaide Crows","St Kilda","Adelaide Oval"
"2017",12,"Hawthorn","Gold Coast Suns","MCG"
"2017",12,"Brisbane Lions","Fremantle","Gabba"
"2017",12,"Essendon","Port Adelaide","Marvel Stadium"
"2017",12,"Carlton","GWS Giants","Marvel Stadium"
"2017",12,"Melbourne","Collingwood","MCG"
"2017",13,"West Coast Eagles","Geelong Cats","Domain Stadium"
"2017",13,"North Melbourne","St Kilda","Marvel Stadium"
"2017",13,"Richmond","Sydney Swans","MCG"
