"Player","TM","GM","Off PAV","Def PAV","Mid PAV","Total PAV","Off mPAV","Def mPAV","Mid mPAV","Total mPAV"
"Breust, Luke","HW","21","11.35","0.93","3.25","15.53","1.735","-0.775","-0.217","0.247"
"Briggs, Kieren","GW","4","0.87","0.61","1.15","2.63","0.095","-0.231","0.459","0.108"
"Broad, Nathan","RI","23","0.48","11.10","1.53","13.10","-0.891","1.552","-0.649","0.004"
"Brodie, Will","FR","24","4.15","2.78","10.88","17.81","-0.045","-0.361","1.502","0.365"
"Brown, Ben","ME","19","5.88","1.59","1.18","8.65","0.708","-0.537","-0.657","-0.162"
"Brown, Callum","CW","6","0.30","0.27","0.57","1.14","-0.710","-0.737","-0.458","-0.635"
"Brown, Callum","GW","8","1.13","1.31","0.55","2.99","-0.287","-0.169","-0.655","-0.370"
"Brown, Luke","AD","11","0.47","2.55","0.70","3.73","-0.783","0.175","-0.678","-0.429"
"Brown, Mitch","ME","3","0.56","0.27","0.30","1.12","0.023","-0.509","-0.452","-0.312"
"Brown, Tyler","CW","11","0.38","0.58","0.94","1.90","-0.802","-0.696","-0.507","-0.668"
"Bruce, Josh","WB","5","0.30","0.57","0.46","1.33","-0.678","-0.398","-0.511","-0.529"
"Bruhn, Tanner","GW","17","2.42","1.05","3.35","6.81","-0.281","-0.688","-0.004","-0.324"
"Bryan, Nick","ES","5","0.97","0.44","0.94","2.34","-0.023","-0.556","-0.049","-0.209"
"Budarick, Connor","GC","9","0.38","3.10","0.76","4.24","-0.787","0.740","-0.571","-0.206"
"Burgess, Chris","GC","2","0.17","0.41","0.10","0.67","-0.580","0.036","-0.759","-0.434"
"Burgoyne, Jase","PA","8","0.89","1.62","0.85","3.36","-0.440","0.026","-0.460","-0.291"
"Burton, Ryan","PA","22","2.15","10.86","3.00","16.01","-0.506","1.499","-0.310","0.228"
"Butler, Dan","SK","19","5.72","0.74","2.52","8.98","0.523","-0.803","-0.329","-0.203"
"Butler, Louis","WB","1","0.05","0.08","0.09","0.21","-0.762","-0.601","-0.539","-0.634"
"Butler, Sam","HW","9","1.74","0.18","0.75","2.67","-0.020","-0.900","-0.581","-0.500"
"Butters, Zak","PA","20","5.21","2.50","7.30","15.01","0.318","-0.367","0.846","0.266"
"Butts, Jordon","AD","19","0.21","6.84","0.42","7.47","-0.944","0.821","-0.887","-0.337"
"Byrne-Jones, Darcy","PA","21","1.04","6.13","2.84","10.01","-0.750","0.477","-0.315","-0.196"
"Byrnes, Ryan","SK","11","0.54","0.90","0.94","2.38","-0.751","-0.585","-0.569","-0.635"
"Caldwell, Jye","ES","20","4.14","1.79","5.99","11.93","0.049","-0.546","0.515","0.006"
"Callaghan, Finn","GW","5","0.75","0.73","0.57","2.05","-0.239","-0.258","-0.424","-0.307"
"Callow, Jackson","HW","3","0.27","0.20","0.22","0.70","-0.545","-0.656","-0.622","-0.608"
"Cameron, Charlie","BL","25","10.84","1.15","2.16","14.15","1.492","-0.736","-0.502","0.085"
"Cameron, Darcy","CW","24","7.15","3.08","5.93","16.17","0.713","-0.262","0.422","0.291"
"Cameron, Jeremy","GE","24","13.03","1.39","4.16","18.57","2.121","-0.668","-0.004","0.483"
"Campbell, Braeden","SY","17","0.95","2.10","1.28","4.34","-0.678","-0.289","-0.566","-0.511"
"Campbell, Tom","SK","2","0.59","0.39","0.87","1.85","0.491","-0.008","1.191","0.558"
"Carmichael, Josh","CW","7","0.95","0.34","1.23","2.53","-0.219","-0.717","0.013","-0.308"
"Carroll, Jack","CA","5","0.88","0.22","1.03","2.13","-0.107","-0.782","0.044","-0.282"
"Casboult, Levi","GC","21","7.15","0.98","1.31","9.44","0.723","-0.763","-0.685","-0.242"
"Castagna, Jason","RI","16","3.37","0.51","1.46","5.35","0.115","-0.831","-0.517","-0.411"
"Ceglar, Jonathon","GE","3","0.26","0.62","1.20","2.08","-0.496","0.190","1.296","0.330"
"Cerra, Adam","CA","18","3.41","2.27","7.98","13.66","-0.042","-0.363","1.244","0.280"
"Chandler, Kade","ME","4","0.00","0.00","0.00","0.00","-1.000","-0.995","-1.004","-1.000"
"Chapman, Heath","FR","17","0.86","5.59","1.43","7.89","-0.720","0.816","-0.534","-0.146"
"Chol, Mabior","GC","22","9.51","1.50","2.73","13.74","1.188","-0.654","-0.373","0.054"
"Chugg, Isaac","CW","2","0.00","0.00","0.05","0.04","-1.000","-1.008","-0.866","-0.958"
"Clark, Greg","WC","9","0.86","1.03","1.17","3.05","-0.519","-0.424","-0.340","-0.427"
"Clark, Hunter","SK","8","0.22","1.68","1.06","2.96","-0.863","0.060","-0.327","-0.377"
"Clark, Jordan","FR","24","2.57","8.40","4.29","15.26","-0.410","0.933","-0.013","0.170"
"Clarke, Judson","RI","3","0.67","0.20","0.24","1.11","0.173","-0.643","-0.578","-0.350"
"Clarke, Ryan","SY","14","1.54","0.75","1.40","3.69","-0.367","-0.692","-0.425","-0.495"
"Cleary, Luke","WB","4","0.05","0.37","0.10","0.51","-0.940","-0.517","-0.864","-0.774"
"Close, Brad","GE","25","7.08","1.92","4.83","13.83","0.628","-0.559","0.112","0.060"
"Clurey, Tom","PA","13","-0.05","5.21","0.25","5.41","-1.020","1.029","-0.902","-0.298"
"Cockatoo, Nakia","BL","8","1.19","0.86","1.09","3.13","-0.147","-0.384","-0.219","-0.250"
"Coleman, Keidean","BL","18","2.44","4.93","2.37","9.74","-0.221","0.574","-0.242","0.037"
"Coleman-Jones, Callum","NM","10","2.63","0.55","1.43","4.61","0.331","-0.724","-0.275","-0.223"
"Collier-Dawkins, Riley","RI","2","0.07","0.17","0.40","0.64","-0.812","-0.553","0.050","-0.438"
"Collins, Sam","GC","22","0.76","11.38","1.08","13.23","-0.825","1.618","-0.751","0.014"
"Colyer, Travis","FR","18","3.85","1.45","2.54","7.83","0.180","-0.556","-0.222","-0.199"
"Comben, Charlie","NM","1","0.15","-0.02","0.07","0.20","-0.217","-1.117","-0.639","-0.658"
"Coniglio, Stephen","GW","21","6.26","1.93","7.68","15.86","0.507","-0.536","0.850","0.274"
"Constable, Charlie","GC","2","0.02","0.07","0.04","0.13","-0.940","-0.826","-0.900","-0.889"
"Cook, Brayden","AD","8","1.00","0.50","0.78","2.27","-0.370","-0.685","-0.509","-0.521"
"Corbett, Josh","GC","4","0.81","0.04","0.25","1.09","0.020","-0.953","-0.686","-0.539"
"Cordy, Zaine","WB","14","0.87","2.81","1.31","4.99","-0.672","0.063","-0.505","-0.371"
"Corr, Aidan","NM","20","-0.15","9.52","0.49","9.86","-1.037","1.408","-0.875","-0.168"
"Cotchin, Trent","RI","19","4.02","2.37","8.40","14.79","0.119","-0.340","1.340","0.373"
"Cottrell, Matthew","CA","18","3.19","1.78","2.44","7.41","-0.104","-0.499","-0.315","-0.306"
"Cox, Brennan","FR","23","0.28","13.70","0.97","14.95","-0.933","2.288","-0.767","0.196"
"Cox, Mason","CW","18","3.59","2.54","3.69","9.82","0.148","-0.189","0.179","0.046"
"Cox, Nik","ES","5","0.64","0.30","0.43","1.37","-0.353","-0.698","-0.567","-0.539"
"Cripps, Jamie","WC","17","8.75","1.10","3.94","13.79","1.604","-0.674","0.174","0.368"
"Cripps, Patrick","CA","21","7.06","2.16","13.40","22.61","0.700","-0.480","2.228","0.816"
"Crisp, Jack","CW","25","5.53","4.82","10.75","21.11","0.273","0.109","1.473","0.618"
"Crouch, Brad","SK","21","4.20","2.71","10.36","17.26","0.012","-0.348","1.495","0.386"
"Crouch, Matt","AD","11","0.89","1.95","3.45","6.29","-0.590","-0.105","0.587","-0.036"
"Crowden, Mitch","FR","2","0.00","0.00","0.00","0.00","-1.000","-1.000","-1.000","-1.000"
"Crozier, Hayden","WB","5","0.23","1.18","0.36","1.77","-0.762","0.249","-0.617","-0.377"
"Culley, Jai","WC","4","0.66","0.20","1.05","1.90","-0.168","-0.746","0.323","-0.197"
"Cumberland, Noah","RI","9","4.28","0.23","1.15","5.65","1.513","-0.865","-0.326","0.107"
"Cumming, Isaac","GW","21","1.64","11.13","2.82","15.59","-0.605","1.682","-0.320","0.252"
"Cunningham, Harry","SY","10","0.45","1.57","0.55","2.58","-0.739","-0.095","-0.682","-0.505"
"Cunnington, Ben","NM","2","0.00","0.07","0.27","0.35","-1.000","-0.810","-0.308","-0.706"
"Curnow, Charlie","CA","22","14.99","1.59","3.24","19.82","2.448","-0.635","-0.254","0.520"
"Curtis, Paul","NM","15","4.22","0.60","1.08","5.89","0.422","-0.799","-0.635","-0.337"
"Cutler, Tom","ES","9","1.48","2.71","1.27","5.46","-0.166","0.525","-0.288","0.024"
"Dahlhaus, Luke","GE","10","1.24","0.44","0.98","2.66","-0.288","-0.745","-0.436","-0.490"
"Daicos, Josh","CW","25","4.76","2.90","6.37","14.02","0.094","-0.334","0.465","0.075"
"Daicos, Nick","CW","25","3.26","6.79","4.67","14.73","-0.249","0.563","0.074","0.129"
