"Playing.for","firstname","surname","calculated_total_PAV"
"Adelaide","Ben","Keays",10.2753614290057
"Adelaide","Brayden","Cook",5.74379946774741
"Adelaide","Brodie","Smith",12.8763738362952
"Adelaide","Chayce","Jones",12.567916866104
"Adelaide","Chris","Burgess",2.56906570932321
"Adelaide","Daniel","Curtin",1.37994008410183
"Adelaide","Darcy","Fogarty",8.42759597678119
"Adelaide","Elliott","Himmelberg",3.20620635763738
"Adelaide","Izak","Rankine",14.023899142004
"Adelaide","Jake","Soligo",17.1347252414829
"Adelaide","James","Borlase",6.92966390671581
"Adelaide","Jordan","Dawson",19.3953504965651
"Adelaide","Jordon","Butts",8.95965011745142
"Adelaide","Josh","Rachele",10.8479772141667
"Adelaide","Josh","Worrell",20.263157368056
"Adelaide","Lachlan","Gollant",2.08174735298286
"Adelaide","Lachlan","Murphy",2.49170217186193
"Adelaide","Lachlan","Sholl",6.52323595783428
"Adelaide","Luke","Nankervis",7.47559110145322
"Adelaide","Luke","Pedlar",3.40720968758003
"Adelaide","Mark","Keane",14.7355365808687
"Adelaide","Matt","Crouch",16.4468014515488
"Adelaide","Max","Michalanney",12.8052261074605
"Adelaide","Mitch","Hinge",18.9402736341818
"Adelaide","Ned","McHenry",7.25165278104402
"Adelaide","Patrick","Parnell",0.530807095355247
"Adelaide","Reilly","OBrien",18.3376733987247
"Adelaide","Rory","Laird",18.6025394330854
"Adelaide","Sam","Berry",5.34572933062649
"Adelaide","Taylor","Walker",7.79090585696449
"Adelaide","Wayne","Milera",5.91878547441774
"Adelaide","Will","Hamill",3.30605904144365
"Brisbane Lions","Brandon","Starcevich",9.37321524533854
"Brisbane Lions","Bruce","Reville",2.80610285615
"Brisbane Lions","Callum","Ah Chee",9.38429897189009
"Brisbane Lions","Cam","Rayner",12.9500746583824
"Brisbane Lions","Charlie","Cameron",8.30677224377663
"Brisbane Lions","Conor","McKenna",6.38614182426819
"Brisbane Lions","Darcy","Fort",3.1659514366779
"Brisbane Lions","Darcy","Gardiner",6.04505474475953
"Brisbane Lions","Darcy","Wilmot",16.0294617895696
"Brisbane Lions","Dayne","Zorko",16.6215033269475
"Brisbane Lions","Deven","Robertson",1.47132237885385
"Brisbane Lions","Eric","Hipwood",8.9124662746822
"Brisbane Lions","Harris","Andrews",18.7326111077552
"Brisbane Lions","Harry","Sharp",2.32010695265685
"Brisbane Lions","Hugh","McCluggage",18.264944024467
"Brisbane Lions","Jack","Payne",11.8648887999036
"Brisbane Lions","James","Tunstill",2.69445280475112
"Brisbane Lions","Jarrod","Berry",14.4462218179181
"Brisbane Lions","Jarryd","Lyons",2.942175521953
"Brisbane Lions","Jaspa","Fletcher",11.5796742161456
"Brisbane Lions","Jaxon","Prior",1.40905650037502
"Brisbane Lions","Joe","Daniher",12.5429172314058
"Brisbane Lions","Josh","Dunkley",17.8800505240366
"Brisbane Lions","Kai","Lohmann",8.51643445556778
"Brisbane Lions","Keidean","Coleman",0.876932586548145
"Brisbane Lions","Lachie","Neale",15.8625224631805
"Brisbane Lions","Lincoln","McCarthy",8.44120180875349
"Brisbane Lions","Logan","Morris",1.1181674048031
"Brisbane Lions","Noah","Answerth",8.53681241086782
"Brisbane Lions","Oscar","McInerney",16.6357121887972
"Brisbane Lions","Ryan","Lester",11.9403103073073
"Brisbane Lions","Shadeau","Brain",0.943151867543427
"Brisbane Lions","Zac","Bailey",7.65285143090919
