"Player","TM","GM","Off PAV","Def PAV","Mid PAV","Total PAV","Off mPAV","Def mPAV","Mid mPAV","Total mPAV"
"Bedford, Toby","ME","14","2.74","0.86","1.58","5.18","-0.280","-0.773","-0.583","-0.546"
"Brown, Luke","AD","11","0.65","3.55","0.96","5.16","-0.781","0.186","-0.678","-0.424"
"Foley, Luke","WC","10","1.29","2.74","1.12","5.15","-0.525","0.007","-0.588","-0.369"
"Weideman, Sam","ME","8","3.08","0.86","1.17","5.11","0.419","-0.604","-0.463","-0.216"
"Payne, Jack","BL","6","1.24","3.20","0.66","5.11","-0.237","0.965","-0.593","0.045"
"Martin, Jack","CA","9","3.32","0.49","1.29","5.10","0.357","-0.799","-0.473","-0.305"
"de Boer, Matt","GW","12","2.62","1.03","1.42","5.07","-0.198","-0.684","-0.564","-0.482"
"Hipwood, Eric","BL","8","2.90","1.19","0.94","5.03","0.336","-0.454","-0.570","-0.229"
"Phillips, Andrew","ES","8","1.80","0.99","2.19","4.98","-0.171","-0.546","0.006","-0.237"
"Grainger-Barras, Denver","HW","11","-0.08","4.51","0.53","4.96","-1.027","0.508","-0.821","-0.447"
"Peatling, James","GW","7","3.38","0.30","1.28","4.96","0.776","-0.841","-0.327","-0.130"
"Rioli, Maurice","RI","9","3.36","0.55","1.02","4.93","0.376","-0.777","-0.584","-0.328"
"Petruccelle, Jack","WC","7","3.14","0.61","1.15","4.89","0.648","-0.679","-0.396","-0.143"
"Prior, Jaxon","BL","9","1.76","1.55","1.56","4.87","-0.279","-0.365","-0.364","-0.336"
"Dumont, Trent","PA","8","1.25","2.02","1.57","4.85","-0.423","-0.070","-0.277","-0.257"
"McNeil, Lachlan","WB","11","2.94","0.42","1.46","4.83","-0.015","-0.858","-0.512","-0.462"
"Nelson, Jackson","WC","11","1.20","2.14","1.48","4.82","-0.599","-0.282","-0.506","-0.463"
"Lynch, Max","HW","6","2.76","0.20","1.83","4.78","0.691","-0.879","0.123","-0.022"
"Farrar, Jy","GC","9","0.48","3.40","0.89","4.77","-0.803","0.389","-0.634","-0.349"
"Dow, Thomson","RI","6","0.83","1.22","2.71","4.76","-0.489","-0.253","0.665","-0.026"
"Mahony, Jack","NM","12","2.53","0.70","1.45","4.68","-0.223","-0.786","-0.554","-0.521"
"Dixon, Hugh","WC","7","2.67","0.63","1.35","4.66","0.406","-0.669","-0.289","-0.184"
"Maginness, Finn","HW","10","1.45","1.77","1.43","4.65","-0.467","-0.349","-0.474","-0.430"
"Hunter, Lachie","WB","7","1.16","1.34","2.13","4.64","-0.388","-0.294","0.121","-0.187"
"Henry, Jack","GE","8","0.53","3.67","0.40","4.61","-0.756","0.690","-0.816","-0.294"
"Windhager, Marcus","SK","13","1.67","0.89","2.04","4.60","-0.527","-0.749","-0.423","-0.566"
"Edwards, Harry","WC","11","0.05","4.20","0.31","4.56","-0.985","0.406","-0.896","-0.492"
"Lienert, Jarrod","SK","7","-0.08","3.94","0.69","4.55","-1.040","1.069","-0.635","-0.202"
"Sweet, Jordon","WB","5","1.61","0.85","2.09","4.55","0.185","-0.372","0.535","0.116"
"Wehr, Jacob","GW","7","1.71","1.45","1.30","4.46","-0.102","-0.237","-0.317","-0.219"
"Lycett, Scott","PA","4","1.67","0.34","2.42","4.43","0.539","-0.688","1.224","0.358"
"Cordy, Zaine","WB","9","1.16","1.78","1.46","4.40","-0.527","-0.271","-0.402","-0.400"
"Hayes, Jack","SK","5","2.48","0.71","1.20","4.40","0.825","-0.475","-0.113","0.079"
"Ugle-Hagan, Jamarra","WB","10","2.90","0.18","1.27","4.35","0.068","-0.934","-0.533","-0.466"
"Narkle, Quinton","GE","8","1.59","0.99","1.73","4.31","-0.267","-0.546","-0.203","-0.339"
"Rotham, Josh","WC","10","0.37","3.48","0.39","4.24","-0.864","0.282","-0.855","-0.479"
"Mead, Jackson","PA","9","1.12","1.08","2.01","4.20","-0.544","-0.560","-0.179","-0.428"
